Rad,rad
2111111111111,2111111111111
1111121111111,1111121111111
1111111112111,1111111112111
1111111111211,1111111111211
1211111111111,1211111111111
1X11111111111,1X11111111111
11111111111X1,11111111111X1
111X111111111,111X111111111
111111111111X,111111111111X
111111111X111,111111111X111
1111111X11111,1111111X11111
11111X1111111,11111X1111111
111111X111111,111111X111111
1111112211111,1111112211111
1111211111112,1111211111112
1111211211111,1111211211111
2121111111111,2121111111111
2111111211111,2111111211111
1112111211111,1112111211111
1121111211111,1121111211111
1211211111111,1211211111111
2111211111111,2111211111111
2111121111111,2111121111111
2112111111111,2112111111111
1111122111111,1111122111111
1111111211112,1111111211112
1111111121112,1111111121112
1111111111122,1111111111122
1111111212111,1111111212111
2111111111211,2111111111211
1111121111112,1111121111112
2111111111112,2111111111112
2111111112111,2111111112111
1111121111121,1111121111121
1112111112111,1112111112111
1121111111211,1121111111211
1121111112111,1121111112111
1121111121111,1121111121111
1121111111112,1121111111112
1111112111211,1111112111211
1211111111121,1211111111121
1111111122111,1111111122111
1111211111X11,1111211111X11
111121X111111,111121X111111
1111X12111111,1111X12111111
11211X1111111,11211X1111111
112111X111111,112111X111111
21X1111111111,21X1111111111
11111112X1111,11111112X1111
11112111X1111,11112111X1111
2111X11111111,2111X11111111
11111211X1111,11111211X1111
21111X1111111,21111X1111111
211X111111111,211X111111111
1111X11111121,1111X11111121
X111211111111,X111211111111
1111X11112111,1111X11112111
1111X11211111,1111X11211111
111X111111211,111X111111211
11111121X1111,11111121X1111
121X111111111,121X111111111
21111111X1111,21111111X1111
1211X11111111,1211X11111111
112111111X111,112111111X111
11X1111111211,11X1111111211
1111X21111111,1111X21111111
11X1121111111,11X1121111111
111111X111211,111111X111211
X112111111111,X112111111111
12X1111111111,12X1111111111
111111111X121,111111111X121
11111X1211111,11111X1211111
X111111111211,X111111111211
11111X1121111,11111X1121111
11111X1111121,11111X1111121
1111111X11121,1111111X11121
1111111121X11,1111111121X11
11111111X1121,11111111X1121
1111111111X12,1111111111X12
11X1111111112,11X1111111112
111111X111112,111111X111112
111111211111X,111111211111X
211111111111X,211111111111X
121111111111X,121111111111X
11211111111X1,11211111111X1
11111X2111111,11111X2111111
11111121111X1,11111121111X1
2111111X11111,2111111X11111
12111111111X1,12111111111X1
11111111211X1,11111111211X1
11X1112111111,11X1112111111
111X112111111,111X112111111
1111X11X11111,1111X11X11111
1111XX1111111,1111XX1111111
111XX11111111,111XX11111111
11X1X11111111,11X1X11111111
1111X1111X111,1111X1111X111
1111X11111X11,1111X11111X11
1111X1111111X,1111X1111111X
1X11111X11111,1X11111X11111
11111111111XX,11111111111XX
X111111111X11,X111111111X11
X11X111111111,X11X111111111
1X1111111X111,1X1111111X111
X11111111111X,X11111111111X
11111X11X1111,11111X11X1111
11111111X1X11,11111111X1X11
111111XX11111,111111XX11111
1111111X11X11,1111111X11X11
11111111XX111,11111111XX111
X111111X11111,X111111X11111
1111111XX1111,1111111XX1111
1X1111X111111,1X1111X111111
11X11111X1111,11X11111X1111
11X11111111X1,11X11111111X1
1111111X1X111,1111111X1X111
111111111XX11,111111111XX11
11XX111111111,11XX111111111
1111211112211,1111211112211
2121111111112,2121111111112
1111212121111,1111212121111
1211111211112,1211111211112
1111212112111,1111212112111
1211111211121,1211111211121
1111221111121,1111221111121
2111111211112,2111111211112
1111222111111,1111222111111
1111121211112,1111121211112
2111111211121,2111111211121
1121111211121,1121111211121
1121112111121,1121112111121
1211112111112,1211112111112
1221111111121,1221111111121
1221111111112,1221111111112
1111112211121,1111112211121
1112111211121,1112111211121
1111122111112,1111122111112
1111211121112,1111211121112
1211211111211,1211211111211
1112111111212,1112111111212
1111112121112,1111112121112
1111111112122,1111111112122
1111212111211,1111212111211
1111111221121,1111111221121
1211121X11211,1211121X11211
12111X1X11211,12111X1X11211
1211221X11X11,1211221X11X11
121X121X11211,121X121X11211
12112X1X11X11,12112X1X11X11
1211X2121X211,1211X2121X211
1X11121X11211,1X11121X11211
1211X212X1211,1211X212X1211
1211111X11211,1211111X11211
12X1X21111211,12X1X21111211
121112121X211,121112121X211
12111X12X1211,12111X12X1211
12111X1X1X211,12111X1X1X211
12X11X1111211,12X11X1111211
1X11221211X11,1X11221211X11
1X11211211211,1X11211211211
121X211111211,121X211111211
1X11X11211211,1X11X11211211
12X1211211211,12X1211211211
1X1X121X11211,1X1X121X11211
121X221XX1211,121X221XX1211
12112212112X1,12112212112X1
12112X1X11111,12112X1X11111
12X1X21X11X11,12X1X21X11X11
1211X212112X1,1211X212112X1
X211XX1X11211,X211XX1X11211
1211XX1X11111,1211XX1X11111
1211121211111,1211121211111
1X11221111X11,1X11221111X11
1211111211X11,1211111211X11
1211121X11111,1211121X11111
121XXX1X1X211,121XXX1X1X211
1X11211111211,1X11211111211
1X11121X11X11,1X11121X11X11
1211X11111X11,1211X11111X11
121X2211X1211,121X2211X1211
1211X112X1211,1211X112X1211
12X1111211211,12X1111211211
1X112X1111X11,1X112X1111X11
1211X11X1X211,1211X11X1X211
12112X121121X,12112X121121X
1X11XX1111X11,1X11XX1111X11
12112X1XX1X11,12112X1XX1X11
121X2X111X211,121X2X111X211
1211XXX111211,1211XXX111211
12111XXX11211,12111XXX11211
1XX11X1211211,1XX11X1211211
121X1X1X1X211,121X1X1X1X211
12X11X1X11X11,12X11X1X11X11
1XX11X1X11211,1XX11X1X11211
12112212XX211,12112212XX211
121121111X211,121121111X211
121111121X211,121111121X211
12111XX111211,12111XX111211
12X1121X1X211,12X1121X1X211
1X112X111X211,1X112X111X211
1X111X1X1X211,1X111X1X1X211
12112X1XXX211,12112X1XXX211
12111X1X1121X,12111X1X1121X
12X12X111X211,12X12X111X211
1X111X1XX1211,1X111X1XX1211
12121X1111211,12121X1111211
121XX21212211,121XX21212211
1X11221211111,1X11221211111
1211XX1XXX211,1211XX1XXX211
1111221111211,1111221111211
121112111121X,121112111121X
121X221111111,121X221111111
1X1122X211211,1X1122X211211
1X1XXX1X11X11,1X1XXX1X11X11
12XXXX1211X11,12XXXX1211X11
1111121X11211,1111121X11211
121X121X11111,121X121X11111
1X11X2X211211,1X11X2X211211
12X1221X11111,12X1221X11111
12X1X21211111,12X1X21211111
1211X11X11111,1211X11X11111
1211221211XX1,1211221211XX1
121X1X1211111,121X1X1211111
12X1X21X11111,12X1X21X11111
12112112112X1,12112112112X1
1X112XX211211,1X112XX211211
1211X21212X11,1211X21212X11
121X2211112X1,121X2211112X1
1X11XX1211111,1X11XX1211111
1XX1X11211211,1XX1X11211211
1XXX121X11211,1XXX121X11211
X21X1X1X11211,X21X1X1X11211
12X11X111X211,12X11X111X211
12X12212112X1,12X12212112X1
1X11X21212211,1X11X21212211
1211X112112X1,1211X112112X1
1X1XXX1111X11,1X1XXX1111X11
1221121X11211,1221121X11211
1XX1X11X11211,1XX1X11X11211
1X11121211111,1X11121211111
X211211111211,X211211111211
12X12XXX11211,12X12XXX11211
121X121111111,121X121111111
X2X1XX1X11211,X2X1XX1X11211
121121X111211,121121X111211
12112X1X11XX1,12112X1X11XX1
1211X212X1111,1211X212X1111
X211X11111211,X211X11111211
12X1121211111,12X1121211111
121X111111X11,121X111111X11
1XX1XX1X11X11,1XX1XX1X11X11
12X1XXXX11211,12X1XXXX11211
1X11XX12112X1,1X11XX12112X1
12X122X111211,12X122X111211
121X2111X1211,121X2111X1211
1212221111X11,1212221111X11
1221XX1111211,1221XX1111211
12211X1X11211,12211X1X11211
1X11221X21211,1X11221X21211
1211221111XX1,1211221111XX1
1211211X21211,1211211X21211
1211X11X1XX11,1211X11X1XX11
121X121X1121X,121X121X1121X
12112111112X1,12112111112X1
XX11XX1111211,XX11XX1111211
1X1X1X1111X11,1X1X1X1111X11
12X12X1111111,12X12X1111111
1X112X1221211,1X112X1221211
12112X1X11X1X,12112X1X11X1X
1211XX1211X1X,1211XX1211X1X
12112X1X21X11,12112X1X21X11
X211121111X11,X211121111X11
1212X11111211,1212X11111211
1X11121X12211,1X11121X12211
12112XXXX1211,12112XXXX1211
X211XX1X1X211,X211XX1X1X211
1X1X1X12X1211,1X1X1X12X1211
12X11XX211211,12X11XX211211
X2X11X1X11211,X2X11X1X11211
X2X1XX1111211,X2X1XX1111211
1211X21X1X2X1,1211X21X1X2X1
121112X111X11,121112X111X11
12X12X121121X,12X12X121121X
12X2X21111211,12X2X21111211
12X12X1X1XX11,12X12X1X1XX11
1X11XX1XX1X11,1X11XX1XX1X11
1X1122111XX11,1X1122111XX11
12112212XXX11,12112212XXX11
