Rad,rad
1111211111111,1111211111111
1111121111111,1111121111111
1111111111211,1111111111211
1121111111111,1121111111111
1111111211111,1111111211111
1111112111111,1111112111111
1111111X11111,1111111X11111
1111111111X11,1111111111X11
11X1111111111,11X1111111111
111111111X111,111111111X111
2111211111111,2111211111111
1111121211111,1111121211111
2121111111111,2121111111111
1111212111111,1111212111111
2111111211111,2111111211111
1122111111111,1122111111111
1121211111111,1121211111111
1211112111111,1211112111111
2111112111111,2111112111111
1112121111111,1112121111111
1112112111111,1112112111111
2112111111111,2112111111111
1111121111121,1111121111121
1111111122111,1111111122111
1111111211112,1111111211112
1112111112111,1112111112111
1111121121111,1111121121111
1111121111112,1111121111112
1111121112111,1111121112111
1211111121111,1211111121111
1211111112111,1211111112111
2111111111211,2111111111211
2111111111121,2111111111121
1111111121211,1111111121211
1111111121121,1111111121121
1111X12111111,1111X12111111
111121111X111,111121111X111
11111211X1111,11111211X1111
111211111X111,111211111X111
X111111111211,X111111111211
11X1111111211,11X1111111211
X111111111121,X111111111121
11X1111121111,11X1111121111
211111111X111,211111111X111
12111111X1111,12111111X1111
11111121X1111,11111121X1111
2111111111X11,2111111111X11
11211X1111111,11211X1111111
1111121111X11,1111121111X11
111111X111121,111111X111121
12X1111111111,12X1111111111
111111121X111,111111121X111
1111111X11211,1111111X11211
1111111121X11,1111111121X11
11211111X1111,11211111X1111
1X11111111121,1X11111111121
1121111111X11,1121111111X11
121111X111111,121111X111111
11112111X1111,11112111X1111
11111X1112111,11111X1112111
11111X1211111,11111X1211111
1111X21111111,1111X21111111
1X11121111111,1X11121111111
111111211X111,111111211X111
1211X11111111,1211X11111111
X121111111111,X121111111111
1X12111111111,1X12111111111
111211111111X,111211111111X
1111111X11112,1111111X11112
111X111111112,111X111111112
11111111X1112,11111111X1112
X111111111112,X111111111112
211111111111X,211111111111X
111111X111112,111111X111112
1X11111111112,1X11111111112
111112111111X,111112111111X
11111111112X1,11111111112X1
1111121X11111,1111121X11111
12111111111X1,12111111111X1
1211111X11111,1211111X11111
11X1112111111,11X1112111111
1111112X11111,1111112X11111
1X11X11111111,1X11X11111111
1111X11111X11,1111X11111X11
X1111111X1111,X1111111X1111
X11111111111X,X11111111111X
11X11111111X1,11X11111111X1
11111111111XX,11111111111XX
11111111X11X1,11111111X11X1
11111X1X11111,11111X1X11111
1X1111X111111,1X1111X111111
1X111111X1111,1X111111X1111
111X111111X11,111X111111X11
111X11111111X,111X11111111X
XX11111111111,XX11111111111
X111111111X11,X111111111X11
11X111111111X,11X111111111X
X11111111X111,X11111111X111
1XX1111111111,1XX1111111111
11111111X1X11,11111111X1X11
1111111X111X1,1111111X111X1
111111111X1X1,111111111X1X1
111X1111X1111,111X1111X1111
X11111X111111,X11111X111111
1X111X1111111,1X111X1111111
X1111X1111111,X1111X1111111
1111211111122,1111211111122
1111211112121,1111211112121
1112211111121,1112211111121
1111222111111,1111222111111
1111212121111,1111212121111
1111211121121,1111211121121
1112121111112,1112121111112
2111211111121,2111211111121
1212111111112,1212111111112
2111211111112,2111211111112
2111112111112,2111112111112
2211111111121,2211111111121
1121211111121,1121211111121
1111211121112,1111211121112
1121112111112,1121112111112
1212111111211,1212111111211
1111112111122,1111112111122
2111111211211,2111111211211
1211111111221,1211111111221
1111112111221,1111112111221
1211111121112,1211111121112
1112111111221,1112111111221
1112111111122,1112111111122
1111121121112,1111121121112
1121211111211,1121211111211
1111111122112,1111111122112
1111111212121,1111111212121
1111112112121,1111112112121
1112112111211,1112112111211
1111111121212,1111111121212
2111111111212,2111111111212
2121111111211,2121111111211
1111111111222,1111111111222
1111112121121,1111112121121
1112121111211,1112121111211
1121111111122,1121111111122
1121111121112,1121111121112
2112121111111,2112121111111
21111X1121212,21111X1121212
21111XXX21212,21111XXX21212
21111X2121212,21111X2121212
2112112121212,2112112121212
X1111X1121212,X1111X1121212
2X111X1X21212,2X111X1X21212
X112111121212,X112111121212
X111111121212,X111111121212
211211112121X,211211112121X
211X1X112121X,211X1X112121X
2XX1111121212,2XX1111121212
X11X111121212,X11X111121212
2X111X11X1212,2X111X11X1212
21111X1221212,21111X1221212
21111XX1212X2,21111XX1212X2
21111XXX2121X,21111XXX2121X
2X121X112121X,2X121X112121X
211X122121212,211X122121212
22X21X1121212,22X21X1121212
XX12111121212,XX12111121212
2XXX1X1X21212,2XXX1X1X21212
211211112X212,211211112X212
X111112121212,X111112121212
X1121XX1X1212,X1121XX1X1212
2X1111X12121X,2X1111X12121X
2111X11121212,2111X11121212
2121111121212,2121111121212
21X21X1221212,21X21X1221212
221X111X21212,221X111X21212
X1111X112121X,X1111X112121X
21121111X121X,21121111X121X
211X1X11X121X,211X1X11X121X
21X2111221212,21X2111221212
2XX21X112121X,2XX21X112121X
2X111XXX2121X,2X111XXX2121X
22XX11X121212,22XX11X121212
2111111X212X2,2111111X212X2
X1X111XX21212,X1X111XX21212
X11X1111X1212,X11X1111X1212
2X121X1121X12,2X121X1121X12
2X111X1121X12,2X111X1121X12
21111221X1212,21111221X1212
2XXX1111X1212,2XXX1111X1212
21211X2121212,21211X2121212
2122111X21212,2122111X21212
211112X1212X2,211112X1212X2
XX1X1X2121212,XX1X1X2121212
21111XX1X12X2,21111XX1X12X2
