Rad,rad
1121111111111,1121111111111
1111121111111,1111121111111
X111111111111,X111111111111
1111111111X11,1111111111X11
11111111111X1,11111111111X1
1X11111111111,1X11111111111
111111111X111,111111111X111
11111X1111111,11111X1111111
2111211111111,2111211111111
1221111111111,1221111111111
1112121111111,1112121111111
1111121211111,1111121211111
1121121111111,1121121111111
1211112111111,1211112111111
1211211111111,1211211111111
2111111211111,2111111211111
1111211112111,1111211112111
2121111111111,2121111111111
1112111111121,1112111111121
1111112112111,1111112112111
1111121111121,1111121111121
1111121111211,1111121111211
2111111121111,2111111121111
1111111121112,1111111121112
1111112111112,1111112111112
1211111121111,1211111121111
1121111111121,1121111111121
1112111121111,1112111121111
1111111211211,1111111211211
1111111121211,1111111121211
1111X12111111,1111X12111111
112111X111111,112111X111111
11X2111111111,11X2111111111
X111111121111,X111111121111
1111X11121111,1111X11121111
X111121111111,X111121111111
111111211X111,111111211X111
X111211111111,X111211111111
111X111111121,111X111111121
1111X11211111,1111X11211111
111X111211111,111X111211111
211X111111111,211X111111111
111111X111121,111111X111121
1X11111211111,1X11111211111
2111111111X11,2111111111X11
11111211X1111,11111211X1111
11111X1121111,11111X1121111
11111X1111211,11111X1111211
121111X111111,121111X111111
11111X1112111,11111X1112111
1X12111111111,1X12111111111
1112X11111111,1112X11111111
X111111111211,X111111111211
111111X121111,111111X121111
11111111X2111,11111111X2111
11111111X1211,11111111X1211
111X121111111,111X121111111
111111X111211,111111X111211
111X211111111,111X211111111
1111111211X11,1111111211X11
1X11111121111,1X11111121111
11111111111X2,11111111111X2
112111111111X,112111111111X
111111211111X,111111211111X
111111111211X,111111111211X
111111111X112,111111111X112
111211111111X,111211111111X
11X1111111112,11X1111111112
211111111111X,211111111111X
11111111X1112,11111111X1112
11111111121X1,11111111121X1
11111X2111111,11111X2111111
11121111111X1,11121111111X1
11111211111X1,11111211111X1
12111111111X1,12111111111X1
11111121111X1,11111121111X1
1111X1111111X,1111X1111111X
11111X11111X1,11111X11111X1
X111111X11111,X111111X11111
11XX111111111,11XX111111111
X11111111111X,X11111111111X
11111X111111X,11111X111111X
11111111X11X1,11111111X11X1
X1111X1111111,X1111X1111111
111X11111X111,111X11111X111
111111X1111X1,111111X1111X1
111111X11111X,111111X11111X
11X1111111X11,11X1111111X11
1111211112211,1111211112211
2111211111121,2111211111121
1121112111112,1121112111112
2112111111121,2112111111121
1111211121121,1111211121121
1111211212111,1111211212111
2211111111121,2211111111121
1211111211112,1211111211112
1212111111211,1212111111211
1211111121121,1211111121121
1111121211211,1111121211211
1112121111211,1112121111211
1121121111211,1121121111211
1111121111212,1111121111212
2111111111122,2111111111122
1111111112122,1111111112122
1112111121121,1112111121121
1121111112112,1121111112112
1112111111212,1112111111212
1112111211211,1112111211211
1111121111122,1111121111122
1211112111211,1211112111211
1111112121112,1111112121112
1111112211211,1111112211211
1111121111221,1111121111221
1112112111211,1112112111211
1121111111122,1121111111122
1211211111211,1211211111211
1111111221211,1111111221211
2112111211111,2112111211111
1121111121211,1121111121211
1211122111111,1211122111111
1212111211111,1212111211111
1111112121211,1111112121211
1112221111111,1112221111111
2111212111111,2111212111111
2111211121111,2111211121111
2121111121111,2121111121111
1112111112211,1112111112211
2111121211111,2111121211111
2121111211111,2121111211111
1122111211111,1122111211111
1111121121211,1111121121211
1111121212111,1111121212111
1112121112111,1112121112111
1221111112111,1221111112111
1221121111111,1221121111111
1112121211111,1112121211111
1111112122111,1111112122111
1112121121111,1112121121111
2111111212111,2111111212111
2211111121111,2211111121111
1111121221111,1111121221111
1111112221111,1111112221111
1122112111111,1122112111111
2211111112111,2211111112111
1222122112112,1222122112112
12221X2112212,12221X2112212
1X221X1112212,1X221X1112212
1222121111112,1222121111112
122212111X11X,122212111X11X
12221X111XX12,12221X111XX12
1X22121112X1X,1X22121112X1X
1222111X12212,1222111X12212
1222X2111XX12,1222X2111XX12
1222XX2112212,1222XX2112212
1212121112X12,1212121112X12
122X1X1112X12,122X1X1112X12
X222X21112112,X222X21112112
122X1221121X2,122X1221121X2
1X22121X1221X,1X22121X1221X
122211X11221X,122211X11221X
X222X2111221X,X222X2111221X
12221211112XX,12221211112XX
122212111X2X1,122212111X2X1
122212XX1211X,122212XX1211X
12221X2112222,12221X2112222
12121X1112212,12121X1112212
1X2212X11211X,1X2212X11211X
X22212211X21X,X22212211X21X
XX2X121112212,XX2X121112212
122212111111X,122212111111X
X222121112111,X222121112111
12XX1X1112212,12XX1X1112212
12X212XX12112,12X212XX12112
X22X12X112112,X22X12X112112
122112X112212,122112X112212
1X22121111X12,1X22121111X12
12X212111X2XX,12X212111X2XX
122X1X2112112,122X1X2112112
1X2X122112X12,1X2X122112X12
1222X11112X12,1222X11112X12
XX221211122XX,XX221211122XX
122212211X1XX,122212211X1XX
12221X2112XXX,12221X2112XXX
12X2122X1X212,12X2122X1X212
122XX2X112X12,122XX2X112X12
X22212X1X221X,X22212X1X221X
12121211122XX,12121211122XX
1222X211X2XX2,1222X211X2XX2
12222211X2212,12222211X2212
X212122112212,X212122112212
12X2122112XXX,12X2122112XXX
1222111112XXX,1222111112XXX
XX22111112212,XX22111112212
X2221X111X21X,X2221X111X21X
1222121111XXX,1222121111XXX
122212111XXX1,122212111XXX1
1X2X12X11X212,1X2X12X11X212
122211X11X112,122211X11X112
12X2X2X11X212,12X2X2X11X212
1222X1111X212,1222X1111X212
1222X22112XXX,1222X22112XXX
1X22121X12222,1X22121X12222
1222XXXX12212,1222XXXX12212
X22X121X12X12,X22X121X12X12
122X12111121X,122X12111121X
XX2X12X112212,XX2X12X112212
X2XX1211122X2,X2XX1211122X2
X222112112112,X222112112112
12221211111XX,12221211111XX
122212111X1X1,122212111X1X1
12221XX111X12,12221XX111X12
12221XX11X2XX,12221XX11X2XX
12221X2111X12,12221X2111X12
12X2X2111XX12,12X2X2111XX12
122XX2X11221X,122XX2X11221X
122X12X11X1X2,122X12X11X1X2
X22X121111212,X22X121111212
XXX2121112112,XXX2121112112
1XX2111112212,1XX2111112212
1212121X12112,1212121X12112
X222121XX2112,X222121XX2112
122212X12221X,122212X12221X
122212XXX2XX2,122212XXX2XX2
1222XX1112211,1222XX1112211
1X2212X112X11,1X2212X112X11
1222122X11112,1222122X11112
XX221X111221X,XX221X111221X
XX2X121112112,XX2X121112112
X2X2X21112112,X2X2X21112112
122X111112XX2,122X111112XX2
122212XX1X11X,122212XX1X11X
121X121112X12,121X121112X12
12221X11XX21X,12221X11XX21X
12X21X1X1221X,12X21X1X1221X
122XX2111X112,122XX2111X112
1X2X121112211,1X2X121112211
X22212X11121X,X22212X11121X
12X212X111112,12X212X111112
122X1211XX112,122X1211XX112
1222X21111XX2,1222X21111XX2
122211111X11X,122211111X11X
12X212111X1XX,12X212111X1XX
1222122X1121X,1222122X1121X
122X1X1X1221X,122X1X1X1221X
222X121112112,222X121112112
X2121X1112212,X2121X1112212
122211111X222,122211111X222
12XXX21112X12,12XXX21112X12
12X211X11221X,12X211X11221X
X222X2X11XX12,X222X2X11XX12
X22X12111XXX2,X22X12111XXX2
X222122X12211,X222122X12211
12221221X2111,12221221X2111
X222121X12X22,X222121X12X22
1222121X11X1X,1222121X11X1X
1222121X1XX11,1222121X1XX11
XX2212X112222,XX2212X112222
12121X1X12212,12121X1X12212
12221X111X122,12221X111X122
1222X212121X2,1222X212121X2
1X221211112XX,1X221211112XX
1222X2X1X21X2,1222X2X1X21X2
X222112112XX2,X222112112XX2
122X12X11X222,122X12X11X222
122X122122212,122X122122212
12X21XXX12X12,12X21XXX12X12
12X21X11X221X,12X21X11X221X
X212121112XX2,X212121112XX2
X22XX2111221X,X22XX2111221X
122X1211222X2,122X1211222X2
122212112X21X,122212112X21X
12221X111X111,12221X111X111
121X12111221X,121X12111221X
1X22122X12222,1X22122X12222
XX2X121X12212,XX2X121X12212
12X2121111X1X,12X2121111X1X
1X221221X22XX,1X221221X22XX
12121X1112XX2,12121X1112XX2
1X2212111X122,1X2212111X122
1XXX12111221X,1XXX12111221X
122X122X1X112,122X122X1X112
1XX212X11X112,1XX212X11X112
1X22X2111XXX2,1X22X2111XXX2
1XX21211XX212,1XX21211XX212
12X21211XXXX2,12X21211XXXX2
X222121211212,X222121211212
12XX122X122X2,12XX122X122X2
12121X2112112,12121X2112112
