Rad,rad
1111111111111,1111111111111
1111211111111,1111211111111
1111111121111,1111111121111
1111121111111,1111121111111
1111111211111,1111111211111
1111111111121,1111111111121
1211111111111,1211111111111
1111111111211,1111111111211
1111111111112,1111111111112
11111X1111111,11111X1111111
11111111X1111,11111111X1111
11X1111111111,11X1111111111
111111111111X,111111111111X
1X11111111111,1X11111111111
1111111111X11,1111111111X11
1221111111111,1221111111111
1112121111111,1112121111111
1211112111111,1211112111111
1112211111111,1112211111111
1122111111111,1122111111111
1111211121111,1111211121111
1111211112111,1111211112111
1112112111111,1112112111111
2111121111111,2111121111111
1111212111111,1111212111111
1111211111211,1111211111211
1121211111111,1121211111111
1111111112211,1111111112211
1111112111112,1111112111112
1121111111121,1121111111121
1111111121121,1111111121121
1111111211121,1111111211121
1111111111221,1111111111221
1112111111121,1112111111121
2111111112111,2111111112111
2111111111211,2111111111211
1111112111121,1111112111121
1112111111112,1112111111112
1112111111211,1112111111211
1121111111211,1121111111211
1112111121111,1112111121111
1111111122111,1111111122111
1111111221111,1111111221111
1211111111121,1211111111121
1211111121111,1211111121111
2111111121111,2111111121111
1211111112111,1211111112111
111121X111111,111121X111111
1111X12111111,1111X12111111
111121111111X,111121111111X
1111211X11111,1111211X11111
12X1111111111,12X1111111111
1112111111X11,1112111111X11
1X12111111111,1X12111111111
1X11111112111,1X11111112111
11121111X1111,11121111X1111
2111X11111111,2111X11111111
11112111X1111,11112111X1111
1X11111111211,1X11111111211
11X1111211111,11X1111211111
111112X111111,111112X111111
1X11121111111,1X11121111111
1111111121X11,1111111121X11
111111111X121,111111111X121
11111111X1211,11111111X1211
1X11211111111,1X11211111111
1111111211X11,1111111211X11
2X11111111111,2X11111111111
111111112X111,111111112X111
111111121X111,111111121X111
1111X21111111,1111X21111111
1111111X11211,1111111X11211
111111X111121,111111X111121
121111X111111,121111X111111
11X2111111111,11X2111111111
111X111211111,111X111211111
11111121X1111,11111121X1111
11111X1121111,11111X1121111
111X121111111,111X121111111
111X111112111,111X111112111
11111X1111121,11111X1111121
111111X121111,111111X121111
X121111111111,X121111111111
1112X11111111,1112X11111111
X211111111111,X211111111111
111111111X112,111111111X112
111111111121X,111111111121X
11111111X1112,11111111X1112
X111111111112,X111111111112
111X111111112,111X111111112
11111111111X2,11111111111X2
121111111111X,121111111111X
11111111121X1,11111111121X1
1X11112111111,1X11112111111
1111121X11111,1111121X11111
11211111111X1,11211111111X1
11111112111X1,11111112111X1
11111X2111111,11111X2111111
X111112111111,X111112111111
11X1112111111,11X1112111111
11111121111X1,11111121111X1
1111X11111X11,1111X11111X11
1111XX1111111,1111XX1111111
1111X1111X111,1111X1111X111
X111X11111111,X111X11111111
1111X111X1111,1111X111X1111
111111111X1X1,111111111X1X1
X1111111111X1,X1111111111X1
X11111111111X,X11111111111X
111111111X11X,111111111X11X
11111111X111X,11111111X111X
1111111X1111X,1111111X1111X
1X1111111X111,1X1111111X111
1111111XX1111,1111111XX1111
X1111111X1111,X1111111X1111
11X11X1111111,11X11X1111111
11111X11X1111,11111X11X1111
11111X111X111,11111X111X111
11111X111111X,11111X111111X
111X1X1111111,111X1X1111111
111X111111X11,111X111111X11
11111X11111X1,11111X11111X1
111X1111111X1,111X1111111X1
111X11111111X,111X11111111X
X1X1111111111,X1X1111111111
111X11X111111,111X11X111111
11XX111111111,11XX111111111
11111111X1X11,11111111X1X11
11111XX111111,11111XX111111
1111121211112,1111121211112
1111212111112,1111212111112
1211111211112,1211111211112
1211111211121,1211111211121
2111121111112,2111121111112
1121112111112,1121112111112
2121111111112,2121111111112
1111122111112,1111122111112
1121111211112,1121111211112
1121121111112,1121121111112
1121121111121,1121121111121
1111211121211,1111211121211
1111212121111,1111212121111
2111112111121,2111112111121
1211121111112,1211121111112
11221X1122211,11221X1122211
1XX2X1112X211,1XX2X1112X211
1122211121211,1122211121211
1122X11122X11,1122X11122X11
11X2111121211,11X2111121211
11X2X1112X21X,11X2X1112X21X
112XX11121211,112XX11121211
11X2XX1121211,11X2XX1121211
1XX2X1112X21X,1XX2X1112X21X
1122XX11XX211,1122XX11XX211
112X21112X211,112X21112X211
112212112X211,112212112X211
11X211112221X,11X211112221X
11X2211121211,11X2211121211
1222X11121211,1222X11121211
11X2X11121X11,11X2X11121X11
12221X112X211,12221X112X211
112XX11122X11,112XX11122X11
1X22XX112XX1X,1X22XX112XX1X
11221X112XX1X,11221X112XX1X
11X2X21122211,11X2X21122211
112X11112121X,112X11112121X
112X21112X21X,112X21112X21X
1X22X111222X1,1X22X111222X1
112XX11121X11,112XX11121X11
1X22X1111X211,1X22X1111X211
1X22X111XXX11,1X22X111XXX11
122XX1112X211,122XX1112X211
1122X11111211,1122X11111211
11X22111XX211,11X22111XX211
112X111121X11,112X111121X11
1X2X1111XX211,1X2X1111XX211
12X2111121211,12X2111121211
112X2X112X21X,112X2X112X21X
1122111X2X21X,1122111X2X21X
112X1X1122X11,112X1X1122X11
1122121122X11,1122121122X11
122221112221X,122221112221X
1X2XX111X1211,1X2XX111X1211
X122X11122211,X122X11122211
12221111XX211,12221111XX211
1X22211X22211,1X22211X22211
112X1111X1211,112X1111X1211
112X121122211,112X121122211
1X2X21112XX11,1X2X21112XX11
1112X1112X211,1112X1112X211
112X1X11XX211,112X1X11XX211
1122XX1X2X21X,1122XX1X2X21X
11XXX111XX211,11XXX111XX211
1X2212112XX11,1X2212112XX11
12221111X2211,12221111X2211
1X2212112121X,1X2212112121X
11X2XX112X212,11X2XX112X212
1X22X211X2211,1X22X211X2211
11XX1X112X21X,11XX1X112X21X
1X22X1111X21X,1X22X1111X21X
112211112X111,112211112X111
11X211X12X211,11X211X12X211
1X22111X2221X,1X22111X2221X
111211112X211,111211112X211
1222XX11X2211,1222XX11X2211
X122XX112X211,X122XX112X211
12X2X1112121X,12X2X1112121X
1XX21111X221X,1XX21111X221X
1122X11XX2211,1122X11XX2211
11XXXX112121X,11XXXX112121X
1122X11121111,1122X11121111
112XX111XXX11,112XX111XXX11
1X22XX1111211,1X22XX1111211
1XX21X112XX1X,1XX21X112XX1X
1122X11112X11,1122X11112X11
1222X111XX21X,1222X111XX21X
1X2X211121X11,1X2X211121X11
112X2111X1211,112X2111X1211
1X2211112X111,1X2211112X111
112XXX112X212,112XXX112X212
11XX1X112XX11,11XX1X112XX11
1X22X1111XX11,1X22X1111XX11
112211X12XX11,112211X12XX11
11X21X112X2X1,11X21X112X2X1
12222111X2211,12222111X2211
1X21X11122211,1X21X11122211
1XX2111X21211,1XX2111X21211
11XX21112121X,11XX21112121X
1122111121111,1122111121111
11222X11212X1,11222X11212X1
1122XX1XXX211,1122XX1XXX211
12X2X11121X11,12X2X11121X11
1X22X111X2212,1X22X111X2212
11X212112121X,11X212112121X
12XX111122211,12XX111122211
1X2X2111X1211,1X2X2111X1211
11X21XX12X211,11X21XX12X211
11X221111X211,11X221111X211
111221112X211,111221112X211
12X22X1121211,12X22X1121211
112XX11111211,112XX11111211
11XX2111XX211,11XX2111XX211
1222111X22211,1222111X22211
1X2XX111212X1,1X2XX111212X1
11X2XX1111211,11X2XX1111211
11X2211121212,11X2211121212
1X22X21X22211,1X22X21X22211
1X2221X12X21X,1X2221X12X21X
1X222X11212X1,1X222X11212X1
1X22X211X221X,1X22X211X221X
