Rad,rad
1111111111111,1111111111111
1121111111111,1121111111111
1112111111111,1112111111111
1111111112111,1111111112111
1111111211111,1111111211111
11111111X1111,11111111X1111
11111111111X1,11111111111X1
11111X1111111,11111X1111111
111X111111111,111X111111111
111111X111111,111111X111111
1X11111111111,1X11111111111
1111211111121,1111211111121
1111211211111,1111211211111
1111212111111,1111212111111
1211211111111,1211211111111
1121111211111,1121111211111
1111121211111,1111121211111
2121111111111,2121111111111
2111112111111,2111112111111
1122111111111,1122111111111
1112211111111,1112211111111
1121121111111,1121121111111
2111111111211,2111111111211
2111111112111,2111111112111
1121111111121,1121111111121
1121111111211,1121111111211
1211111111211,1211111111211
1111111122111,1111111122111
1111111221111,1111111221111
1211111111112,1211111111112
1111121121111,1111121121111
1111112111211,1111112111211
1112111121111,1112111121111
1112111111112,1112111111112
1111111211121,1111111211121
1111111112121,1111111112121
1111111211211,1111111211211
1111111111221,1111111111221
2111111111112,2111111111112
1211111111121,1211111111121
1111121111121,1111121111121
1111121111211,1111121111211
1111112112111,1111112112111
111121111111X,111121111111X
111121X111111,111121X111111
211X111111111,211X111111111
111111111X211,111111111X211
11211111X1111,11211111X1111
1211X11111111,1211X11111111
1211111111X11,1211111111X11
1X11121111111,1X11121111111
11112X1111111,11112X1111111
21111111X1111,21111111X1111
1X11111111211,1X11111111211
1112X11111111,1112X11111111
1111111121X11,1111111121X11
11111X1112111,11111X1112111
111X111112111,111X111112111
1111211X11111,1111211X11111
2111X11111111,2111X11111111
121111111X111,121111111X111
1111X21111111,1111X21111111
11111112X1111,11111112X1111
11111111X1211,11111111X1211
1111111111X21,1111111111X21
11121X1111111,11121X1111111
111112111X111,111112111X111
1111121111X11,1111121111X11
12111111X1111,12111111X1111
11111211X1111,11111211X1111
211111111X111,211111111X111
1111X11121111,1111X11121111
1111X11112111,1111X11112111
12X1111111111,12X1111111111
121X111111111,121X111111111
1111111X21111,1111111X21111
X111111211111,X111111211111
111211111X111,111211111X111
1X21111111111,1X21111111111
111111X121111,111111X121111
11X1111111211,11X1111111211
111111X111211,111111X111211
111111X211111,111111X211111
11111X1111112,11111X1111112
111X111111112,111X111111112
1111111X11112,1111111X11112
1X11111111112,1X11111111112
211111111111X,211111111111X
111211111111X,111211111111X
121111111111X,121111111111X
111111X111112,111111X111112
1111111111X12,1111111111X12
111111121111X,111111121111X
111111111211X,111111111211X
11111111112X1,11111111112X1
2111111X11111,2111111X11111
1X11112111111,1X11112111111
1111121X11111,1111121X11111
X111112111111,X111112111111
11111112111X1,11111112111X1
X111X11111111,X111X11111111
1X11X11111111,1X11X11111111
1111X11X11111,1111X11X11111
111111X111X11,111111X111X11
11X1111X11111,11X1111X11111
111X1X1111111,111X1X1111111
1111111111XX1,1111111111XX1
1X11111111X11,1X11111111X11
X11111X111111,X11111X111111
1X111111111X1,1X111111111X1
111X11X111111,111X11X111111
11X111111X111,11X111111X111
11X11X1111111,11X11X1111111
11111X111X111,11111X111X111
111111X1111X1,111111X1111X1
X1111X1111111,X1111X1111111
