Rad,rad
1121111111111,1121111111111
1111111211111,1111111211111
1111121111111,1111121111111
1111111121111,1111111121111
1111111111112,1111111111112
1111X11111111,1111X11111111
X111111111111,X111111111111
111111111111X,111111111111X
111111X111111,111111X111111
1111111111X11,1111111111X11
11111111111X1,11111111111X1
1111121211111,1111121211111
2111121111111,2111121111111
2111112111111,2111112111111
1211211111111,1211211111111
1212111111111,1212111111111
1122111111111,1122111111111
1111112211111,1111112211111
1112121111111,1112121111111
1121111211111,1121111211111
2121111111111,2121111111111
2111211111111,2111211111111
2211111111111,2211111111111
2111111112111,2111111112111
1111112121111,1111112121111
2111111111211,2111111111211
1121111121111,1121111121111
1112111111112,1112111111112
1111111112211,1111111112211
1121111111112,1121111111112
1112111121111,1112111121111
1111111211211,1111111211211
2111111111121,2111111111121
1111121111211,1111121111211
1111112111211,1111112111211
1111112111121,1111112111121
1121111112111,1121111112111
1111111112112,1111111112112
111121X111111,111121X111111
111X111111121,111X111111121
112111X111111,112111X111111
1111111X11211,1111111X11211
11112111X1111,11112111X1111
12111X1111111,12111X1111111
12X1111111111,12X1111111111
11X2111111111,11X2111111111
1111X11121111,1111X11121111
1X12111111111,1X12111111111
X111111112111,X111111112111
11111X1121111,11111X1121111
1X11121111111,1X11121111111
211X111111111,211X111111111
21111X1111111,21111X1111111
111111X111121,111111X111121
11111X1111211,11111X1111211
11111X1111121,11111X1111121
11X1111111211,11X1111111211
11211X1111111,11211X1111111
X112111111111,X112111111111
1111X11112111,1111X11112111
1111111111X21,1111111111X21
11X1111211111,11X1111211111
X111211111111,X111211111111
1111111X12111,1111111X12111
111X211111111,111X211111111
11121111X1111,11121111X1111
1111111X11121,1111111X11121
111211X111111,111211X111111
1111112111X11,1111112111X11
11X1121111111,11X1121111111
1111111X21111,1111111X21111
1111111X11112,1111111X11112
111111111211X,111111111211X
1111111111X12,1111111111X12
111111111112X,111111111112X
11X1111111112,11X1111111112
111111211111X,111111211111X
211111111111X,211111111111X
111X112111111,111X112111111
1112111X11111,1112111X11111
2111111X11111,2111111X11111
11111111112X1,11111111112X1
11111X2111111,11111X2111111
11111121111X1,11111121111X1
X111112111111,X111112111111
1X11112111111,1X11112111111
11111211111X1,11111211111X1
11111112111X1,11111112111X1
1121111X11111,1121111X11111
1111XX1111111,1111XX1111111
