Rad,rad
1211111111111,1211111111111
1121111111111,1121111111111
1111121111111,1111121111111
1112111111111,1112111111111
1111111121111,1111111121111
1111111111121,1111111111121
2111111111111,2111111111111
1111X11111111,1111X11111111
111111111111X,111111111111X
X111111111111,X111111111111
11X1111111111,11X1111111111
111111111X111,111111111X111
2111111211111,2111111211111
1211121111111,1211121111111
1211211111111,1211211111111
1111122111111,1111122111111
1121111211111,1121111211111
1121211111111,1121211111111
1121112111111,1121112111111
1122111111111,1122111111111
1111211111112,1111211111112
1112111112111,1112111112111
1111111112121,1111111112121
1111111122111,1111111122111
1111121111112,1111121111112
1112111111112,1112111111112
1111121111211,1111121111211
1211111112111,1211111112111
1111111211121,1111111211121
1111111121211,1111111121211
1111112111121,1111112111121
1111112111112,1111112111112
1111111211211,1111111211211
11112111111X1,11112111111X1
1111X12111111,1111X12111111
111121111111X,111121111111X
1111111111X21,1111111111X21
11111111X1121,11111111X1121
X111111112111,X111111112111
211111X111111,211111X111111
21111111X1111,21111111X1111
1111111X21111,1111111X21111
111111112X111,111111112X111
1X11121111111,1X11121111111
X111121111111,X111121111111
X111111111121,X111111111121
X111111111211,X111111111211
111211X111111,111211X111111
1111X11121111,1111X11121111
1X11211111111,1X11211111111
111111211X111,111111211X111
11111X1211111,11111X1211111
11111X1121111,11111X1121111
111111X121111,111111X121111
11211X1111111,11211X1111111
X211111111111,X211111111111
11111X1111211,11111X1111211
1X11111111211,1X11111111211
1X11111112111,1X11111112111
11X1121111111,11X1121111111
111112111X111,111112111X111
111X111211111,111X111211111
111X111111121,111X111111121
1121X11111111,1121X11111111
11112111X1111,11112111X1111
111X111112111,111X111112111
X112111111111,X112111111111
11121111X1111,11121111X1111
1111111X12111,1111111X12111
21X1111111111,21X1111111111
11211111X1111,11211111X1111
11111111X2111,11111111X2111
11111111X1112,11111111X1112
11111X1111112,11111X1111112
111211111111X,111211111111X
111111121111X,111111121111X
1X11111111112,1X11111111112
11X1111111112,11X1111111112
11111112111X1,11111112111X1
