Rad,rad
1111111111111,1111111111111
1111211111111,1111211111111
1111111111211,1111111111211
1111112111111,1111112111111
1111111211111,1111111211111
1111111121111,1111111121111
1111111111112,1111111111112
1111X11111111,1111X11111111
11X1111111111,11X1111111111
1111111111X11,1111111111X11
111111111111X,111111111111X
111111111X111,111111111X111
X111111111111,X111111111111
111111X111111,111111X111111
1111211121111,1111211121111
1111211111211,1111211111211
1111221111111,1111221111111
2111121111111,2111121111111
1111211211111,1111211211111
2112111111111,2112111111111
1112112111111,1112112111111
1111212111111,1111212111111
1212111111111,1212111111111
2211111111111,2211111111111
1121121111111,1121121111111
1112121111111,1112121111111
1121211111111,1121211111111
2111111211111,2111111211111
1111111122111,1111111122111
1211111111112,1211111111112
2111111111112,2111111111112
1211111112111,1211111112111
2111111121111,2111111121111
1112111112111,1112111112111
2111111112111,2111111112111
1111121111121,1111121111121
1111121112111,1111121112111
1121111111112,1121111111112
1111111112211,1111111112211
1111111211211,1111111211211
1111111121112,1111111121112
1111X12111111,1111X12111111
1111X11111211,1111X11111211
1111111X11211,1111111X11211
11111111X1211,11111111X1211
X111111111211,X111111111211
111111211X111,111111211X111
111111X111121,111111X111121
1X11111111211,1X11111111211
1X11111112111,1X11111112111
11111X1111121,11111X1111121
11111X1111211,11111X1111211
11111X1112111,11111X1112111
1X11111121111,1X11111121111
1X11111111121,1X11111111121
211111111X111,211111111X111
11111X1121111,11111X1121111
X112111111111,X112111111111
1X21111111111,1X21111111111
1211X11111111,1211X11111111
111X111111211,111X111111211
2X11111111111,2X11111111111
1211111111X11,1211111111X11
X111111121111,X111111121111
111X111121111,111X111121111
11X1111112111,11X1111112111
11111121X1111,11111121X1111
111111X111211,111111X111211
111111112X111,111111112X111
111111121X111,111111121X111
1111111112X11,1111111112X11
11111111X1121,11111111X1121
21X1111111111,21X1111111111
112111X111111,112111X111111
11111211X1111,11111211X1111
211X111111111,211X111111111
X121111111111,X121111111111
111211X111111,111211X111111
2111111111X11,2111111111X11
111X111111121,111X111111121
1111X11111121,1111X11111121
112X111111111,112X111111111
11111112X1111,11111112X1111
1111112111X11,1111112111X11
1111111X21111,1111111X21111
1X11111111112,1X11111111112
11111111X1112,11111111X1112
111111111121X,111111111121X
111111211111X,111111211111X
1111111111X12,1111111111X12
111111112111X,111111112111X
111111111112X,111111111112X
11111111111X2,11111111111X2
12111111111X1,12111111111X1
11111121111X1,11111121111X1
11111211111X1,11111211111X1
1112111X11111,1112111X11111
11111111112X1,11111111112X1
1111X11X11111,1111X11X11111
1111X11111X11,1111X11111X11
1111X1111111X,1111X1111111X
111X111111X11,111X111111X11
111X111X11111,111X111X11111
1111111X111X1,1111111X111X1
11111111111XX,11111111111XX
111X1111111X1,111X1111111X1
111X1111X1111,111X1111X1111
X111111111X11,X111111111X11
11111XX111111,11111XX111111
X11111X111111,X11111X111111
1111111X11X11,1111111X11X11
11111X111X111,11111X111X111
1X11111111X11,1X11111111X11
1X1111X111111,1X1111X111111
111X11X111111,111X11X111111
11111111X111X,11111111X111X
111111X111X11,111111X111X11
111111X1X1111,111111X1X1111
1111211112121,1111211112121
2112111111112,2112111111112
2111121111112,2111121111112
1111212111112,1111212111112
1111212211111,1111212211111
1111221112111,1111221112111
2112111111121,2112111111121
1111211112112,1111211112112
1122111111121,1122111111121
1121111211112,1121111211112
1121121111121,1121121111121
2111112111121,2111112111121
2111112111112,2111112111112
1111112211121,1111112211121
1111122111121,1111122111121
2111211111121,2111211111121
1211121111121,1211121111121
2111111121112,2111111121112
1121121111211,1121121111211
1121111112121,1121111112121
1121111211211,1121111211211
1111111112122,1111111112122
1111111211212,1111111211212
2111211111211,2111211111211
2111112111211,2111112111211
1112111111122,1112111111122
XX22212121212,XX22212121212
XX22212121112,XX22212121112
11X2212121X12,11X2212121X12
11222121X1112,11222121X1112
X12221X12X112,X12221X12X112
112221X1X1X12,112221X1X1X12
212221212XXX2,212221212XXX2
21222121212X2,21222121212X2
X1X22X2121X12,X1X22X2121X12
XX2221X1X1212,XX2221X1X1212
X12221XX21112,X12221XX21112
212221XX21X12,212221XX21X12
21X22121X1212,21X22121X1212
X1222X2X21112,X1222X2X21112
2X22212X21112,2X22212X21112
1X2221X121112,1X2221X121112
11X22121X1112,11X22121X1112
1XX2212121112,1XX2212121112
1X2221X1X1212,1X2221X1X1212
1XX22121X1212,1XX22121X1212
X122212111112,X122212111112
2122212111X12,2122212111X12
XX22X12121X12,XX22X12121X12
XX222122XX112,XX222122XX112
X1X221X221X12,X1X221X221X12
1X222X2X2XX12,1X222X2X2XX12
2122X12121X12,2122X12121X12
XX2X21212X212,XX2X21212X212
X1X22121X12X2,X1X22121X12X2
X1222X21X1XX2,X1222X21X1XX2
XXX221212XX1X,XXX221212XX1X
2X222122XX212,2X222122XX212
2X222X2X21X12,2X222X2X21X12
1XX221X121212,1XX221X121212
XX2221X2XXX12,XX2221X2XXX12
1X2X212121212,1X2X212121212
11X2212XX1112,11X2212XX1112
1X2221X1XX112,1X2221X1XX112
2122212X22X12,2122212X22X12
2X2221XXX1X12,2X2221XXX1X12
X1X221X2X1X12,X1X221X2X1X12
XX2X212X21212,XX2X212X21212
X122X121X1112,X122X121X1112
X1222121112X2,X1222121112X2
1122X1X121X12,1122X1X121X12
212221XX21XX2,212221XX21XX2
11X22122X1112,11X22122X1112
XX2221X12111X,XX2221X12111X
21222X2221112,21222X2221112
XX222X2XX1112,XX222X2XX1112
11222121X2112,11222121X2112
XX2221X12X1X2,XX2221X12X1X2
112221XX2X21X,112221XX2X21X
2X2221X12121X,2X2221X12121X
X1X221211X112,X1X221211X112
212X21X12XX12,212X21X12XX12
1122X12XXXX12,1122X12XXXX12
X122X122X1212,X122X122X1212
XX22X12221212,XX22X12221212
X1122121XX212,X1122121XX212
11122121X1X12,11122121X1X12
X122222X21112,X122222X21112
2X2X2121XXX12,2X2X2121XXX12
X12222X12X212,X12222X12X212
112221X22X21X,112221X22X21X
1XX221X221212,1XX221X221212
1XX22121X121X,1XX22121X121X
1X2X21222XX12,1X2X21222XX12
112X21X121112,112X21X121112
1XX22121XX2X2,1XX22121XX2X2
21222X22X1112,21222X22X1112
11222X21X2X12,11222X21X2X12
21222122X11X2,21222122X11X2
21X221X1212X2,21X221X1212X2
212221X1X11X2,212221X1X11X2
XX22212211112,XX22212211112
1X222X21X12X2,1X222X21X12X2
11222XX2XXX12,11222XX2XXX12
112221XXXX21X,112221XXXX21X
2XX22121XXXX2,2XX22121XXXX2
11222X2X22X12,11222X2X22X12
X12X2122X1112,X12X2122X1112
X1122121X1112,X1122121X1112
1X2X212121XX2,1X2X212121XX2
X1XX2X2121X12,X1XX2X2121X12
11X221XX21X1X,11X221XX21X1X
X12X21XXXXX12,X12X21XXXXX12
1122X1212X21X,1122X1212X21X
XX2221X2X1X1X,XX2221X2X1X1X
112221X22111X,112221X22111X
11X221X111X12,11X221X111X12
1XX221X2X1X12,1XX221X2X1X12
11222X21XX11X,11222X21XX11X
11X221X1X12X2,11X221X1X12X2
212221XXX121X,212221XXX121X
1X2221X1X11X2,1X2221X1X11X2
XXX221211X112,XXX221211X112
2XX221211XX12,2XX221211XX12
XX22X1X121112,XX22X1X121112
11X2X12X21212,11X2X12X21212
XXX22XX121112,XXX22XX121112
2X22212XX111X,2X22212XX111X
