Rad,rad
1111111111111,1111111111111
1111211111111,1111211111111
2111111111111,2111111111111
1111111121111,1111111121111
1111111111211,1111111111211
1111111111112,1111111111112
111111111111X,111111111111X
111111111X111,111111111X111
111X111111111,111X111111111
1111111111X11,1111111111X11
X111111111111,X111111111111
1111111X11111,1111111X11111
11X1111111111,11X1111111111
1X11111111111,1X11111111111
1221111111111,1221111111111
2121111111111,2121111111111
1112112111111,1112112111111
1111221111111,1111221111111
1111211121111,1111211121111
1111212111111,1111212111111
1111211111211,1111211111211
2211111111111,2211111111111
1111211111112,1111211111112
2111121111111,2111121111111
1111112211111,1111112211111
2111112111111,2111112111111
1112111111211,1112111111211
1111121112111,1111121112111
1111111211211,1111111211211
1111111121112,1111111121112
1111121111121,1111121111121
1112111111112,1112111111112
1121111111112,1121111111112
1112111112111,1112111112111
2111111112111,2111111112111
1111112111121,1111112111121
1111112121111,1111112121111
2111111111121,2111111111121
1211111111211,1211111111211
1111111211112,1111111211112
1111111111122,1111111111122
1111111111212,1111111111212
1111111221111,1111111221111
1121111111121,1121111111121
11112111111X1,11112111111X1
1111211111X11,1111211111X11
111121111X111,111121111X111
111121111111X,111121111111X
111111X112111,111111X112111
1X11111111121,1X11111111121
11111111X2111,11111111X2111
11111111X1121,11111111X1121
111111X111121,111111X111121
2111X11111111,2111X11111111
X111211111111,X111211111111
1111X11111112,1111X11111112
1112X11111111,1112X11111111
1X11121111111,1X11121111111
1111111121X11,1111111121X11
11111X1111121,11111X1111121
1111X11121111,1111X11121111
X111111111211,X111111111211
11111X1111211,11111X1111211
121111111X111,121111111X111
11112111X1111,11112111X1111
12111111X1111,12111111X1111
112111111X111,112111111X111
11X1121111111,11X1121111111
111112X111111,111112X111111
11111112X1111,11111112X1111
121111111111X,121111111111X
111111111211X,111111111211X
X111111111112,X111111111112
111111211111X,111111211111X
111211111111X,111211111111X
111X111111112,111X111111112
11111111111X2,11111111111X2
11X1111111112,11X1111111112
X111112111111,X111112111111
2111111X11111,2111111X11111
1211111X11111,1211111X11111
11111211111X1,11111211111X1
111XX11111111,111XX11111111
1111X11X11111,1111X11X11111
1111X1111111X,1111X1111111X
11111111XX111,11111111XX111
11111111X111X,11111111X111X
1X111111X1111,1X111111X1111
11X111111111X,11X111111111X
111111X1111X1,111111X1111X1
11X11111X1111,11X11111X1111
11111X111111X,11111X111111X
1111X111111X1,1111X111111X1
111X11X111111,111X11X111111
111X11111X111,111X11111X111
11X1111X11111,11X1111X11111
X11X111111111,X11X111111111
11X11X1111111,11X11X1111111
X1111111X1111,X1111111X1111
X111111111X11,X111111111X11
1211111211121,1211111211121
1111212211111,1111212211111
1111211221111,1111211221111
1111211211112,1111211211112
1111122111112,1111122111112
1111122111121,1111122111121
1121211111112,1121211111112
1111112211121,1111112211121
1111112211112,1111112211112
1111222111111,1111222111111
1112211111112,1112211111112
1221111111121,1221111111121
1111221111112,1111221111112
1112112111121,1112112111121
1211211111211,1211211111211
1111121211211,1111121211211
1211111111122,1211111111122
2121111111211,2121111111211
1111112111212,1111112111212
1112111121121,1112111121121
1112111112112,1112111112112
1112111211211,1112111211211
1111121121112,1111121121112
1111121112121,1111121112121
1111121112112,1111121112112
2111121111211,2111121111211
1111112121112,1111112121112
1111112112112,1111112112112
1112111111221,1112111111221
1112111111122,1112111111122
1112211111211,1112211111211
1212111111211,1212111111211
2111211111211,2111211111211
1121211111211,1121211111211
1111111111222,1111111111222
1111111221211,1111111221211
1111111122211,1111111122211
2121121111111,2121121111111
1121211112111,1121211112111
1212121111111,1212121111111
2121211111111,2121211111111
1121212111111,1121212111111
2111221111111,2111221111111
1121211121111,1121211121111
21222X12X11X2,21222X12X11X2
21X2221221X12,21X2221221X12
2122221121122,2122221121122
2112221X211X2,2112221X211X2
21X22X1221X22,21X22X1221X22
212X221X212X2,212X221X212X2
2122221221XX1,2122221221XX1
2122221222222,2122221222222
21X2X21221112,21X2X21221112
21X22X12111X2,21X22X12111X2
21X22212XX112,21X22212XX112
21X2221XX11XX,21X2221XX11XX
2X2X221221XX2,2X2X221221XX2
21X222X2111X2,21X222X2111X2
2122X212XX1X2,2122X212XX1X2
X1X2221221222,X1X2221221222
2X22221XX1122,2X22221XX1122
21222X22211X2,21222X22211X2
212X221121XX2,212X221121XX2
2122221X212X1,2122221X212X1
2X222212112X2,2X222212112X2
21X22212X1X1X,21X22212X1X1X
21222211212XX,21222211212XX
2121221X21112,2121221X21112
X1X22212X1112,X1X22212X1112
21X22212XX212,21X22212XX212
2X222212X21X2,2X222212X21X2
21X2221X2X212,21X2221X2X212
2122XX12X1122,2122XX12X1122
X12X2X12211X2,X12X2X12211X2
X122221X111X2,X122221X111X2
21X22X1X2112X,21X22X1X2112X
21222X2221122,21222X2221122
212222121121X,212222121121X
21XX221X221X2,21XX221X221X2
21X22X1211X22,21X22X1211X22
21XX221121122,21XX221121122
212X221X21X2X,212X221X21X2X
2X22221X212XX,2X22221X212XX
2X222X12221X2,2X222X12221X2
21X22X122121X,21X22X122121X
212X2212X122X,212X2212X122X
2122XX1X21112,2122XX1X21112
X12222X221222,X12222X221222
21XX22121X1X2,21XX22121X1X2
2121221X21X12,2121221X21X12
2122X21121112,2122X21121112
21XX2211X11X2,21XX2211X11X2
212222XX211X1,212222XX211X1
21XX2212X111X,21XX2212X111X
21XX221XX11XX,21XX221XX11XX
2122121221XX2,2122121221XX2
21XX2X122112X,21XX2X122112X
212222X21112X,212222X21112X
21XX2X1221XXX,21XX2X1221XXX
X1X22212X1212,X1X22212X1212
X1X2221XX12X2,X1X2221XX12X2
X1XX221221X22,X1XX221221X22
2122X21X22XX2,2122X21X22XX2
X1X2221XX1112,X1X2221XX1112
211X22122112X,211X22122112X
XXX2221221112,XXX2221221112
2122221121121,2122221121121
2122XX1211122,2122XX1211122
212X22112XXX2,212X22112XXX2
21222211X2122,21222211X2122
212222X2X1121,212222X2X1121
21222X1X11212,21222X1X11212
X12X2X1221112,X12X2X1221112
21X222X121X22,21X222X121X22
2XXX221X21112,2XXX221X21112
2112221X2X1XX,2112221X2X1XX
2122221X22X1X,2122221X22X1X
2X222211X12X2,2X222211X12X2
2122X2X1211X2,2122X2X1211X2
X1222212XXX12,X1222212XXX12
212X2211XX1X2,212X2211XX1X2
2112221XX112X,2112221XX112X
21222X1XX2112,21222X1XX2112
212222X2X2X12,212222X2X2X12
212221122XX22,212221122XX22
X1X2221XX11XX,X1X2221XX11XX
21X2X21XX1X12,21X2X21XX1X12
2122X212112XX,2122X212112XX
2122X11221XX2,2122X11221XX2
2X222X1222112,2X222X1222112
21X22X121111X,21X22X121111X
21222XX222X22,21222XX222X22
2122211X21212,2122211X21212
2XX22X1X2X1X2,2XX22X1X2X1X2
212X21122X1X2,212X21122X1X2
21X22XX2X1212,21X22XX2X1212
X12X2212112X2,X12X2212112X2
2122XX1X221X2,2122XX1X221X2
2X1222122X2X2,2X1222122X2X2
21XX221221221,21XX221221221
2XX2X212X12X2,2XX2X212X12X2
2122121221X12,2122121221X12
2112221X1X1X2,2112221X1X1X2
21X2121X211X2,21X2121X211X2
X1222X12X21X2,X1222X12X21X2
212222X2221X1,212222X2221X1
21X2X21X11112,21X2X21X11112
21X2X22221122,21X2X22221122
2122X2XXX1112,2122X2XXX1112
