Rad,rad
1111111111111,1111111111111
1111211111111,1111211111111
1111111112111,1111111112111
1111111121111,1111111121111
1111111111112,1111111111112
1X11111111111,1X11111111111
111111X111111,111111X111111
111X111111111,111X111111111
111111111111X,111111111111X
1111211111211,1111211111211
1111221111111,1111221111111
1211112111111,1211112111111
1111112211111,1111112211111
2111111211111,2111111211111
1111211112111,1111211112111
1121121111111,1121121111111
1211211111111,1211211111111
1111122111111,1111122111111
1112111211111,1112111211111
1111121112111,1111121112111
1112111121111,1112111121111
1121111111211,1121111111211
1111121111211,1111121111211
1111111212111,1111111212111
1111111111221,1111111111221
1111111112121,1111111112121
1111112111121,1111112111121
1111112112111,1111112112111
1111211111X11,1111211111X11
111121X111111,111121X111111
1111X11111211,1111X11111211
1211X11111111,1211X11111111
12X1111111111,12X1111111111
111X121111111,111X121111111
1X11111111121,1X11111111121
121111111X111,121111111X111
11X1111111211,11X1111111211
1111X11121111,1111X11121111
121111X111111,121111X111111
X111211111111,X111211111111
111211111X111,111211111X111
111211X111111,111211X111111
121X111111111,121X111111111
X111111112111,X111111112111
X111111211111,X111111211111
211X111111111,211X111111111
X111111111211,X111111111211
1X21111111111,1X21111111111
111X111211111,111X111211111
11111X1111211,11111X1111211
1X11111111211,1X11111111211
1111X11112111,1111X11112111
1X11121111111,1X11121111111
111X111121111,111X111121111
1111111121X11,1111111121X11
11111X1211111,11111X1211111
1111211X11111,1111211X11111
2111111111X11,2111111111X11
21111111X1111,21111111X1111
111111112111X,111111112111X
1X11111111112,1X11111111112
111111111112X,111111111112X
1111111111X12,1111111111X12
111111211111X,111111211111X
111X111111112,111X111111112
11111112111X1,11111112111X1
11111111121X1,11111111121X1
11111111211X1,11111111211X1
111X112111111,111X112111111
2111111X11111,2111111X11111
1X11X11111111,1X11X11111111
1111X111X1111,1111X111X1111
111X1X1111111,111X1X1111111
111111111X11X,111111111X11X
111X1111111X1,111X1111111X1
X11X111111111,X11X111111111
1111111X11X11,1111111X11X11
11X11111111X1,11X11111111X1
1111111XX1111,1111111XX1111
11111X111X111,11111X111X111
11111111111XX,11111111111XX
1111111111X1X,1111111111X1X
11111X1X11111,11111X1X11111
X1111111111X1,X1111111111X1
111111XX11111,111111XX11111
1X111111X1111,1X111111X1111
1X1111X111111,1X1111X111111
1X11111X11111,1X11111X11111
X1X1111111111,X1X1111111111
X11111X111111,X11111X111111
111X1111X1111,111X1111X1111
11111111X11X1,11111111X11X1
11111X111111X,11111X111111X
11X11111X1111,11X11111X1111
11111111X111X,11111111X111X
X111111111X11,X111111111X11
1111211112211,1111211112211
1111211111221,1111211111221
2111121111112,2111121111112
1111121211121,1111121211121
1111221112111,1111221112111
1122111111121,1122111111121
1111121211112,1111121211112
1112211111121,1112211111121
1121112111112,1121112111112
1212111111121,1212111111121
1111212111121,1111212111121
1112121111112,1112121111112
1111121112112,1111121112112
1121121111211,1121121111211
1111112211211,1111112211211
1111121111122,1111121111122
1112111111212,1112111111212
1111111221121,1111111221121
1112111111122,1112111111122
2111112111211,2111112111211
1111112112112,1111112112112
1111212111211,1111212111211
2111111121121,2111111121121
1121211111211,1121211111211
1211111111212,1211111111212
1111112112121,1111112112121
1111122111211,1111122111211
1212111111211,1212111111211
2121111111211,2121111111211
1111111121212,1111111121212
1121111111221,1121111111221
1112111111221,1112111111221
2121111121111,2121111121111
1212111112111,1212111112111
1211121121111,1211121121111
1111111222111,1111111222111
1221111211111,1221111211111
1112221111111,1112221111111
1211112121111,1211112121111
2221111111111,2221111111111
2111112112111,2111112112111
2111121112111,2111121112111
2111111122111,2111111122111
1111121212111,1111121212111
1211111121211,1211111121211
1221121111111,1221121111111
1211111221111,1211111221111
1211112211111,1211112211111
112X222X21X22,112X222X21X22
1121X22X212X2,1121X22X212X2
112X222X1X222,112X222X1X222
112X2222212X2,112X2222212X2
1121222X2X212,1121222X2X212
1121X22X11X22,1121X22X11X22
1121222111222,1121222111222
1122122X2X222,1122122X2X222
112222X121222,112222X121222
1122122X11222,1122122X11222
112X2211212X2,112X2211212X2
1121X2212X2X2,1121X2212X2X2
112X222XXXXX2,112X222XXXXX2
112XX22X122X2,112XX22X122X2
1121X22111XX2,1121X22111XX2
1X22222X112X2,1X22222X112X2
1X22222X11222,1X22222X11222
112X122X1X2X2,112X122X1X2X2
1122222211222,1122222211222
1121X221222X2,1121X221222X2
112222XX11212,112222XX11212
112122X121212,112122X121212
1121222111X12,1121222111X12
112122XX11212,112122XX11212
1X22222121X22,1X22222121X22
11211221112X2,11211221112X2
1121122111222,1121122111222
112X2222222X2,112X2222222X2
1121222X21211,1121222X21211
112X122111X22,112X122111X22
1122222X11221,1122222X11221
1X2122XX21222,1X2122XX21222
112XX22XXXX22,112XX22XXXX22
1121X2211X2X2,1121X2211X2X2
112XX2XX11212,112XX2XX11212
112X222121XX1,112X222121XX1
1121222X11221,1121222X11221
1121122121X12,1121122121X12
112222X111X22,112222X111X22
1121222XX12XX,1121222XX12XX
112122112X2X2,112122112X2X2
1X22X22X21X12,1X22X22X21X12
1122122X212X1,1122122X212X1
1121X22121XXX,1121X22121XXX
1121222222222,1121222222222
1121X22X2XX2X,1121X22X2XX2X
1X222221112X2,1X222221112X2
112X222X1XXXX,112X222X1XXXX
112X1221X1222,112X1221X1222
112X22X1X1222,112X22X1X1222
1121222121X21,1121222121X21
1121X2211XX22,1121X2211XX22
112X222111X2X,112X222111X2X
1121222X12X12,1121222X12X12
1X2X22212XXX2,1X2X22212XXX2
112122X1222X2,112122X1222X2
112112XX21X12,112112XX21X12
1122X2XX21XXX,1122X2XX21XXX
112122XX12222,112122XX12222
1122X2XX11X12,1122X2XX11X12
112X221122222,112X221122222
112XX22X22XXX,112XX22X22XXX
112112X121X22,112112X121X22
112X122XXXXX2,112X122XXXXX2
1122X22222222,1122X22222222
1121121X11222,1121121X11222
112XX22112X22,112XX22112X22
1121222111X2X,1121222111X2X
1121X21X11212,1121X21X11212
112XX221X1X12,112XX221X1X12
X121222X2XXX2,X121222X2XXX2
1121222XX12X1,1121222XX12X1
1121X21111222,1121X21111222
1122121121X22,1122121121X22
112XX2XXXX222,112XX2XXXX222
1121X22X11XX1,1121X22X11XX1
1121121X21X12,1121121X21X12
1X2X22XX11X22,1X2X22XX11X22
1121222111221,1121222111221
112122XXX1X12,112122XXX1X12
1121X22211212,1121X22211212
1122X21X11X12,1122X21X11X12
1121122121XXX,1121122121XXX
112212X1112X2,112212X1112X2
112X22221X212,112X22221X212
1121X22112X22,1121X22112X22
1122222X1X21X,1122222X1X21X
112122112X212,112122112X212
1X2XX22111X22,1X2XX22111X22
112122XXXXX22,112122XXXXX22
112112XX11212,112112XX11212
11212211X1222,11212211X1222
1121222XXX2XX,1121222XXX2XX
112XX2X2112X2,112XX2X2112X2
112X121X2X212,112X121X2X212
112112XX1X2X2,112112XX1X2X2
112222X1212X1,112222X1212X1
11X2222X21222,11X2222X21222
1121X22111XXX,1121X22111XXX
X121222121212,X121222121212
112X22XX111X2,112X22XX111X2
112X12211X212,112X12211X212
1X21221X2X222,1X21221X2X222
1121X21221XX2,1121X21221XX2
112112X221222,112112X221222
112XX2112122X,112XX2112122X
1122X221112X1,1122X221112X1
1121X22121211,1121X22121211
1122X221X2222,1122X221X2222
1122X2XXX1X12,1122X2XXX1X12
