Rad,rad
1111111111111,1111111111111
1111111112111,1111111112111
1121111111111,1121111111111
1111111111211,1111111111211
1111111111112,1111111111112
1111X11111111,1111X11111111
1111111X11111,1111111X11111
1X11111111111,1X11111111111
111X111111111,111X111111111
111111X111111,111111X111111
111111111X111,111111111X111
111111111111X,111111111111X
1111211111112,1111211111112
2112111111111,2112111111111
1221111111111,1221111111111
1111211121111,1111211121111
2211111111111,2211111111111
1111221111111,1111221111111
1121112111111,1121112111111
1211121111111,1211121111111
1111112211111,1111112211111
2111111211111,2111111211111
1211111211111,1211111211111
2111211111111,2111211111111
2111111111211,2111111111211
2111111111112,2111111111112
1211111111121,1211111111121
1111121112111,1111121112111
1211111112111,1211111112111
1112111111112,1112111111112
1112111111121,1112111111121
1111111211211,1111111211211
1111111111221,1111111111221
1111112111121,1111112111121
111121111111X,111121111111X
1111X12111111,1111X12111111
1X11111112111,1X11111112111
11121111X1111,11121111X1111
X111211111111,X111211111111
11111X1121111,11111X1121111
111111211X111,111111211X111
111112X111111,111112X111111
11111X1211111,11111X1211111
1111111X12111,1111111X12111
1X11111111211,1X11111111211
1X11111111121,1X11111111121
12111X1111111,12111X1111111
11112111X1111,11112111X1111
111111X121111,111111X121111
111X111211111,111X111211111
111X111121111,111X111121111
11X1211111111,11X1211111111
111X211111111,111X211111111
1111X11211111,1111X11211111
211111X111111,211111X111111
1111X11121111,1111X11121111
1X21111111111,1X21111111111
1111111111X21,1111111111X21
121111111X111,121111111X111
1111111211X11,1111111211X11
111111111X121,111111111X121
1111X11112111,1111X11112111
1X11111121111,1X11111121111
1X11111211111,1X11111211111
11X1121111111,11X1121111111
1121111111X11,1121111111X11
1111111112X11,1111111112X11
111111121X111,111111121X111
11211111X1111,11211111X1111
1111111111X12,1111111111X12
111112111111X,111112111111X
121111111111X,121111111111X
111111111112X,111111111112X
211111111111X,211111111111X
1X11111111112,1X11111111112
111211111111X,111211111111X
11111111X1112,11111111X1112
11111X1111112,11111X1111112
2111111X11111,2111111X11111
11111111112X1,11111111112X1
11111111121X1,11111111121X1
11211111111X1,11211111111X1
11121111111X1,11121111111X1
1211111X11111,1211111X11111
1111121X11111,1111121X11111
1111X11111X11,1111X11111X11
111XX11111111,111XX11111111
X111X11111111,X111X11111111
1111XX1111111,1111XX1111111
1111111111XX1,1111111111XX1
111111X111X11,111111X111X11
111X11111111X,111X11111111X
111111X1X1111,111111X1X1111
1X111X1111111,1X111X1111111
1X11111X11111,1X11111X11111
111X111111X11,111X111111X11
1111111X111X1,1111111X111X1
11X1111111X11,11X1111111X11
1111111X11X11,1111111X11X11
11111X1X11111,11111X1X11111
1X1111111X111,1X1111111X111
11X1111X11111,11X1111X11111
1111111XX1111,1111111XX1111
11111X1111X11,11111X1111X11
11111111X1X11,11111111X1X11
1111111X1111X,1111111X1111X
1111111X1X111,1111111X1X111
X11111111X111,X11111111X111
111X111X11111,111X111X11111
111X11X111111,111X11X111111
11X11X1111111,11X11X1111111
1212111111112,1212111111112
2211111111121,2211111111121
2211111111112,2211111111112
2111121111112,2111121111112
2121111111121,2121111111121
1211112111121,1211112111121
1111221111112,1111221111112
1112112111121,1112112111121
1121211111112,1121211111112
1121121111121,1121121111121
2111211111121,2111211111121
1122111111121,1122111111121
1111211122111,1111211122111
1122111111112,1122111111112
1211211111112,1211211111112
1111211211211,1111211211211
1111112112121,1111112112121
1121111121121,1121111121121
1112111211211,1112111211211
1121121111211,1121121111211
1112111112112,1112111112112
1111121111221,1111121111221
1211111121112,1211111121112
1211111111221,1211111111221
1211111211211,1211111211211
1111111121212,1111111121212
1111112121112,1111112121112
1211112111211,1211112111211
1112111111212,1112111111212
1121211111211,1121211111211
1111212111211,1111212111211
1112211111211,1112211111211
2211111111211,2211111111211
212X2X1122212,212X2X1122212
2121221121112,2121221121112
21X12211X2112,21X12211X2112
212X211112X12,212X211112X12
212X2111X211X,212X2111X211X
2121X111X2X12,2121X111X2X12
212121X1X2X12,212121X1X2X12
2X21211122X12,2X21211122X12
X1212111X2112,X1212111X2112
212X21X122X12,212X21X122X12
21212111X1X12,21212111X1X12
2121211122XXX,2121211122XXX
212121111X112,212121111X112
2X212X11X2112,2X212X11X2112
21212X11X1112,21212X11X1112
212X221122111,212X221122111
2121X2112X112,2121X2112X112
21XX2111X2X12,21XX2111X2X12
2121222122212,2121222122212
X121X21122112,X121X21122112
212X21111221X,212X21111221X
21X122112X112,21X122112X112
X12122112X112,X12122112X112
