Rad,rad
1111211111111,1111211111111
1121111111111,1121111111111
1111111111211,1111111111211
1111112111111,1111112111111
1111111211111,1111111211111
1111111111112,1111111111112
111111111X111,111111111X111
111111111111X,111111111111X
1111111X11111,1111111X11111
1X11111111111,1X11111111111
11X1111111111,11X1111111111
111111X111111,111111X111111
X111111111111,X111111111111
11111X1111111,11111X1111111
11111111111X1,11111111111X1
1111211111121,1111211111121
1121111211111,1121111211111
1221111111111,1221111111111
1111221111111,1111221111111
1111211211111,1111211211111
1112112111111,1112112111111
1112111211111,1112111211111
1111112211111,1111112211111
1111111112112,1111111112112
1111112111112,1111112111112
1111112111211,1111112111211
1211111111121,1211111111121
1211111112111,1211111112111
1111111211112,1111111211112
1111111211121,1111111211121
1121111111211,1121111111211
1111211111X11,1111211111X11
11112111111X1,11112111111X1
1111X11111112,1111X11111112
211X111111111,211X111111111
1111X11112111,1111X11112111
1111111X11121,1111111X11121
1111111X11211,1111111X11211
1111X11111121,1111X11111121
21111X1111111,21111X1111111
11X1211111111,11X1211111111
1121X11111111,1121X11111111
11211111X1111,11211111X1111
1211X11111111,1211X11111111
12111X1111111,12111X1111111
1112X11111111,1112X11111111
211111111X111,211111111X111
11X1121111111,11X1121111111
12111111X1111,12111111X1111
111111211X111,111111211X111
2X11111111111,2X11111111111
1X11111111121,1X11111111121
111X111211111,111X111211111
111X211111111,111X211111111
1211111111X11,1211111111X11
111111X112111,111111X112111
1111121111X11,1111121111X11
111111X121111,111111X121111
11112X1111111,11112X1111111
11X1111111121,11X1111111121
11111111X2111,11111111X2111
2111X11111111,2111X11111111
11111X1111112,11111X1111112
211111111111X,211111111111X
111112111111X,111112111111X
1X11111111112,1X11111111112
X111111111112,X111111111112
11111111112X1,11111111112X1
1111121X11111,1111121X11111
11111121111X1,11111121111X1
12111111111X1,12111111111X1
1112111X11111,1112111X11111
11121111111X1,11121111111X1
X111112111111,X111112111111
11211111111X1,11211111111X1
11111111121X1,11111111121X1
1111X11111X11,1111X11111X11
11X1X11111111,11X1X11111111
1111X1X111111,1111X1X111111
1111X111X1111,1111X111X1111
X111X11111111,X111X11111111
111XX11111111,111XX11111111
111111X11111X,111111X11111X
11111X111111X,11111X111111X
11X1111111X11,11X1111111X11
11X11111111X1,11X11111111X1
111X1111X1111,111X1111X1111
X11X111111111,X11X111111111
111X11111111X,111X11111111X
1111111111X1X,1111111111X1X
1X11111X11111,1X11111X11111
1X1111X111111,1X1111X111111
X1X1111111111,X1X1111111111
1111111X1X111,1111111X1X111
111X111111X11,111X111111X11
111111X111X11,111111X111X11
111X1111111X1,111X1111111X1
X11111111X111,X11111111X111
X11111X111111,X11111X111111
X1111X1111111,X1111X1111111
11111X111X111,11111X111X111
11111X11X1111,11111X11X1111
1111211111221,1111211111221
1111211211121,1111211211121
2121111111121,2121111111121
1111211111212,1111211111212
1212111111112,1212111111112
1111112211121,1111112211121
1211111211121,1211111211121
1121112111112,1121112111112
1211211111112,1211211111112
1211121111121,1211121111121
1111212121111,1111212121111
2111121111121,2111121111121
2112111111121,2112111111121
1111221111112,1111221111112
1111212111112,1111212111112
1111221111121,1111221111121
1111111121212,1111111121212
1111111112212,1111111112212
1111121111122,1111121111122
1212111111211,1212111111211
1111121211211,1111121211211
1121111111221,1121111111221
1111122111211,1111122111211
1121112111211,1121112111211
1111111211221,1111111211221
1111111121122,1111111121122
1112111112112,1112111112112
2211111111211,2211111111211
1112211111211,1112211111211
2111111211211,2111111211211
1112111111221,1112111111221
1111111221121,1111111221121
1111112111221,1111112111221
2121111111211,2121111111211
1111111121221,1111111121221
1111112112112,1111112112112
1112111111122,1112111111122
1112111112121,1112111112121
2121112111111,2121112111111
2112111112111,2112111112111
1111112112211,1111112112211
1211221111111,1211221111111
2222211112X22,2222211112X22
2122211112X2X,2122211112X2X
2X2221X112222,2X2221X112222
2222212122X21,2222212122X21
2122212XX2X22,2122212XX2X22
2122212X1XX22,2122212X1XX22
22222121X2XX1,22222121X2XX1
2X2221111X121,2X2221111X121
2XX2212112121,2XX2212112121
2222X121X2X2X,2222X121X2X2X
2122211111X21,2122211111X21
22X22121X2222,22X22121X2222
2X222111XX121,2X222111XX121
2X22X11112221,2X22X11112221
2XX2211X12222,2XX2211X12222
21222111X1X21,21222111X1X21
22X221212XX2X,22X221212XX2X
22X2X12112X21,22X2X12112X21
212221212212X,212221212212X
2X2221X121X21,2X2221X121X21
2222211122XX1,2222211122XX1
2XX221X1XX221,2XX221X1XX221
2222211XX1X2X,2222211XX1X2X
2X22211111121,2X22211111121
