Rad,rad
1111211111111,1111211111111
1111111111211,1111111111211
1211111111111,1211111111111
1111111211111,1111111211111
1111111111121,1111111111121
1111X11111111,1111X11111111
X111111111111,X111111111111
111111111X111,111111111X111
1X11111111111,1X11111111111
11111111111X1,11111111111X1
2211111111111,2211111111111
1211211111111,1211211111111
2111111211111,2111111211111
1211121111111,1211121111111
1112111211111,1112111211111
2111121111111,2111121111111
1111221111111,1111221111111
1112121111111,1112121111111
1111212111111,1111212111111
1121111211111,1121111211111
1111211211111,1111211211111
2111112111111,2111112111111
1111112112111,1111112112111
1121111112111,1121111112111
1111112111112,1111112111112
1111111112121,1111111112121
1211111111211,1211111111211
2111111112111,2111111112111
1111121112111,1111121112111
1111111111122,1111111111122
1111111121112,1111111121112
1211111111112,1211111111112
1111112111121,1111112111121
1111112111211,1111112111211
1111111121211,1111111121211
1111111121121,1111111121121
1111121111121,1111121111121
2111111111121,2111111111121
1111111211211,1111111211211
111121X111111,111121X111111
1111X11111211,1111X11111211
1111111211X11,1111111211X11
X111111112111,X111111112111
11111X1211111,11111X1211111
1X11111112111,1X11111112111
X111121111111,X111121111111
1121111111X11,1121111111X11
111X211111111,111X211111111
112111X111111,112111X111111
11111X1112111,11111X1112111
111111X111211,111111X111211
111111X121111,111111X121111
111211X111111,111211X111111
1111X11112111,1111X11112111
11211X1111111,11211X1111111
1111X11111112,1111X11111112
1111111111X21,1111111111X21
11111112X1111,11111112X1111
111111X111121,111111X111121
1111111112X11,1111111112X11
111112111X111,111112111X111
X112111111111,X112111111111
1111121111X11,1111121111X11
2111111111X11,2111111111X11
X211111111111,X211111111111
1111111121X11,1111111121X11
211111X111111,211111X111111
21X1111111111,21X1111111111
111211111111X,111211111111X
111111111X112,111111111X112
111111X111112,111111X111112
111111211111X,111111211111X
121111111111X,121111111111X
111111112111X,111111112111X
1111111X11112,1111111X11112
11111211111X1,11111211111X1
21111111111X1,21111111111X1
11111121111X1,11111121111X1
1112111X11111,1112111X11111
1111121X11111,1111121X11111
11121111111X1,11121111111X1
1211111X11111,1211111X11111
X111X11111111,X111X11111111
11X1X11111111,11X1X11111111
1111X11111X11,1111X11111X11
1X111111111X1,1X111111111X1
111111111XX11,111111111XX11
1111111XX1111,1111111XX1111
11XX111111111,11XX111111111
11X111111X111,11X111111X111
1XX1111111111,1XX1111111111
111111X11111X,111111X11111X
111111111X11X,111111111X11X
111111X111X11,111111X111X11
X11X111111111,X11X111111111
11X11X1111111,11X11X1111111
111X111111X11,111X111111X11
11X11111111X1,11X11111111X1
11111X11X1111,11111X11X1111
11111X1111X11,11111X1111X11
X11111X111111,X11111X111111
11111X111111X,11111X111111X
111X1111111X1,111X1111111X1
1122111111121,1122111111121
1122111111112,1122111111112
1121211111121,1121211111121
1111122111121,1111122111121
1111122111112,1111122111112
1111211211112,1111211211112
1111211121112,1111211121112
1221111111112,1221111111112
1121121111112,1121121111112
1111212111121,1111212111121
1111212211111,1111212211111
2211111111112,2211111111112
1211111211121,1211111211121
1111121211112,1111121211112
1212111111112,1212111111112
1112121111112,1112121111112
2111112111112,2111112111112
2111112111121,2111112111121
1112112111112,1112112111112
1112111121112,1112111121112
1121111111122,1121111111122
1112111112112,1112111112112
1112111112121,1112111112121
1112111111221,1112111111221
1112112111211,1112112111211
2211111111211,2211111111211
1211111211211,1211111211211
1122111111211,1122111111211
1111212111211,1111212111211
1211111111122,1211111111122
2111111111212,2111111111212
2111111121112,2111111121112
1111111221121,1111111221121
1121111112121,1121111112121
2111221111111,2111221111111
2111121112111,2111121112111
2111121121111,2111121121111
2111112211111,2111112211111
1121111121211,1121111121211
1121121112111,1121121112111
2111121211111,2111121211111
12121111X12X2,12121111X12X2
1212111X2121X,1212111X2121X
12121111X12X1,12121111X12X1
1212111X21211,1212111X21211
1212111121221,1212111121221
1212111121XX2,1212111121XX2
1212111XX12X1,1212111XX12X1
1212111X21221,1212111X21221
1112111121212,1112111121212
1212111XX1222,1212111XX1222
1212111221222,1212111221222
1X121111212X1,1X121111212X1
11121111X12X2,11121111X12X2
1112111121211,1112111121211
1X12111X212X1,1X12111X212X1
1X121111X12XX,1X121111X12XX
1112111XX12XX,1112111XX12XX
11121111X12X1,11121111X12X1
121211XX2121X,121211XX2121X
121211X121211,121211X121211
11121111X121X,11121111X121X
1212111121X21,1212111121X21
121211122X2X1,121211122X2X1
1X121111X1212,1X121111X1212
1112111XX12X1,1112111XX12X1
1212111X21X21,1212111X21X21
1112111X21XX2,1112111X21XX2
111211X1212XX,111211X1212XX
1X12111221212,1X12111221212
121X111XX12X1,121X111XX12X1
121211X12X2X1,121211X12X2X1
1112111121X12,1112111121X12
11121112X12XX,11121112X12XX
121211XX21XX2,121211XX21XX2
1112111221211,1112111221211
121X11X1212X2,121X11X1212X2
1X12111121X12,1X12111121X12
111211X1212X1,111211X1212X1
1112111X21XX1,1112111X21XX1
121X111121XX1,121X111121XX1
1X12111XX122X,1X12111XX122X
1X121111X1221,1X121111X1221
X21211112121X,X21211112121X
11121111XX2X1,11121111XX2X1
1X121111X1XX2,1X121111X1XX2
111X11112121X,111X11112121X
111211X1X12X2,111211X1X12X2
1X1211X121212,1X1211X121212
121X111X2X212,121X111X2X212
12121111211X2,12121111211X2
121X1111X1221,121X1111X1221
1212111X2XX11,1212111X2XX11
1112111X2X211,1112111X2X211
1212111X22222,1212111X22222
1212111X22211,1212111X22211
121X1111X1XX2,121X1111X1XX2
X212111X21212,X212111X21212
1212121X21222,1212121X21222
111211X121211,111211X121211
12X21111X1XX2,12X21111X1XX2
1X1211X1X12X2,1X1211X1X12X2
1X121112X121X,1X121112X121X
121211111X2X1,121211111X2X1
1212111211212,1212111211212
121X111121X22,121X111121X22
1X121111112X2,1X121111112X2
121X111121X11,121X111121X11
12XX1111212X1,12XX1111212X1
11121211212X2,11121211212X2
12121111XXX22,12121111XXX22
11121211212XX,11121211212XX
11X2111X2121X,11X2111X2121X
X2121111X12X1,X2121111X12X1
X2121112212X2,X2121112212X2
1112111X2X221,1112111X2X221
1X12111221XXX,1X12111221XXX
1112111XX1XX1,1112111XX1XX1
1X1211X12122X,1X1211X12122X
1212111121112,1212111121112
12X21112X121X,12X21112X121X
121X111221XX2,121X111221XX2
1X12111X21X2X,1X12111X21X2X
1112111XX1X12,1112111XX1X12
1X121112X1211,1X121112X1211
1212X111X121X,1212X111X121X
1X1X11112122X,1X1X11112122X
111X1111X1212,111X1111X1212
11121111X1X22,11121111X1X22
111211XX2122X,111211XX2122X
12121X12212X2,12121X12212X2
X212111121221,X212111121221
12X211XX21212,12X211XX21212
1212111X1X2X1,1212111X1X2X1
11121111X1X11,11121111X1X11
12X21111X1XX1,12X21111X1XX1
1222111121211,1222111121211
12XX1111X12XX,12XX1111X12XX
11X21112212XX,11X21112212XX
1X1X1111X12X1,1X1X1111X12X1
1X12111X2XXX2,1X12111X2XXX2
121211111X211,121211111X211
121211121122X,121211121122X
12X21112X1222,12X21112X1222
121111112121X,121111112121X
1212111X21112,1212111X21112
1X1211112XXX1,1X1211112XXX1
