Rad,rad
1111111111111,1111111111111
1111111121111,1111111121111
1111111111211,1111111111211
1111111211111,1111111211111
1112111111111,1112111111111
1111112111111,1111112111111
1211111111111,1211111111111
1111111111121,1111111111121
1111121111111,1111121111111
1111111111112,1111111111112
1111111111X11,1111111111X11
11111111111X1,11111111111X1
1221111111111,1221111111111
1122111111111,1122111111111
2211111111111,2211111111111
1111212111111,1111212111111
1111122111111,1111122111111
1211112111111,1211112111111
1111211211111,1111211211111
1111111112112,1111111112112
1211111111121,1211111111121
1211111111211,1211111111211
1111111111221,1111111111221
2111111111211,2111111111211
1112111121111,1112111121111
1111111212111,1111111212111
1111111221111,1111111221111
2111111111121,2111111111121
1121111112111,1121111112111
1112111111211,1112111111211
1111X12111111,1111X12111111
1111X11111211,1111X11111211
111121111111X,111121111111X
111121X111111,111121X111111
211111X111111,211111X111111
1X11111211111,1X11111211111
1X11111111211,1X11111111211
X111111112111,X111111112111
211X111111111,211X111111111
1X11111121111,1X11111121111
X111111111121,X111111111121
X111111121111,X111111121111
X111211111111,X111211111111
11X1111111121,11X1111111121
11X1121111111,11X1121111111
11111X1121111,11111X1121111
111111X112111,111111X112111
1X11111112111,1X11111112111
11X1111121111,11X1111121111
111111121X111,111111121X111
11111111X1211,11111111X1211
1111111X21111,1111111X21111
211111111X111,211111111X111
111X111211111,111X111211111
1111X21111111,1111X21111111
1111X11121111,1111X11121111
1111X11111121,1111X11111121
2X11111111111,2X11111111111
121111X111111,121111X111111
111111112X111,111111112X111
11111111X1121,11111111X1121
1111121111X11,1111121111X11
111111X211111,111111X211111
11111X1111121,11111X1111121
X121111111111,X121111111111
11111X1111211,11111X1111211
X211111111111,X211111111111
1111X11111112,1111X11111112
111111211X111,111111211X111
1111112111X11,1111112111X11
1112X11111111,1112X11111111
111111111112X,111111111112X
111111111121X,111111111121X
11111X1111112,11111X1111112
121111111111X,121111111111X
111X111111112,111X111111112
211111111111X,211111111111X
11111111111X2,11111111111X2
X111112111111,X111112111111
1112111X11111,1112111X11111
11111X2111111,11111X2111111
1111XX1111111,1111XX1111111
X111X11111111,X111X11111111
11X1X11111111,11X1X11111111
111XX11111111,111XX11111111
1111X11111X11,1111X11111X11
111X1111X1111,111X1111X1111
X1X1111111111,X1X1111111111
1111111X111X1,1111111X111X1
111111111X1X1,111111111X1X1
111X11X111111,111X11X111111
1111X111111X1,1111X111111X1
11111X1X11111,11111X1X11111
11111X1111X11,11111X1111X11
111111X1X1111,111111X1X1111
11111X111111X,11111X111111X
11111XX111111,11111XX111111
111111X1111X1,111111X1111X1
111X1111111X1,111X1111111X1
1111111111X1X,1111111111X1X
11X111111111X,11X111111111X
11X1111X11111,11X1111X11111
1X1111111X111,1X1111111X111
11X1111111X11,11X1111111X11
11111111X111X,11111111X111X
1111111111XX1,1111111111XX1
X1111X1111111,X1111X1111111
X1111111X1111,X1111111X1111
11111111XX111,11111111XX111
1111221111121,1111221111121
1111211211121,1111211211121
1111122111112,1111122111112
1111211212111,1111211212111
1111211121121,1111211121121
1111212111112,1111212111112
1111212121111,1111212121111
1111212112111,1111212112111
1121111211112,1121111211112
1112112111121,1112112111121
1112112111112,1112112111112
1121211111121,1121211111121
1121112111121,1121112111121
1111211112112,1111211112112
1211111121121,1211111121121
1211111111212,1211111111212
1211111211211,1211111211211
1111121112121,1111121112121
1111111112122,1111111112122
1111121111122,1111121111122
1111121111221,1111121111221
1111111112221,1111111112221
1121111112121,1121111112121
1111112111122,1111112111122
1221111111211,1221111111211
1111221111211,1111221111211
2111111121121,2111111121121
1111111212112,1111111212112
2111111111221,2111111111221
1112111121121,1112111121121
1121111121121,1121111121121
2111111111212,2111111111212
2111112111211,2111112111211
1112111111212,1112111111212
1111111121212,1111111121212
2X1111121X222,2X1111121X222
21X111111X222,21X111111X222
2111X11X1X222,2111X11X1X222
21X111121XX22,21X111121XX22
2111X1111X222,2111X1111X222
21X1XX121X2X2,21X1XX121X2X2
X111211212222,X111211212222
211121X21X222,211121X21X222
2111X11211222,2111X11211222
211X111212222,211X111212222
2X1XX1121X222,2X1XX1121X222
21X1X111122X2,21X1X111122X2
2111111X1X2X2,2111111X1X2X2
212XX1121X222,212XX1121X222
XXX1X1111X222,XXX1X1111X222
2111XX111X222,2111XX111X222
XXX11112122X2,XXX11112122X2
21XX11111X222,21XX11111X222
2X1111121222X,2X1111121222X
XX2121121X222,XX2121121X222
2XX11XX21X222,2XX11XX21X222
21111X1X12222,21111X1X12222
21XXX1121XX22,21XXX1121XX22
21212112XX222,21212112XX222
2X112112X2222,2X112112X2222
21X1X11111222,21X1X11111222
XXX1X112XX222,XXX1X112XX222
2X112X121X2X2,2X112X121X2X2
XX1121121X2X2,XX1121121X2X2
21X121111XX22,21X121111XX22
XXX111121X22X,XXX111121X22X
21X1X2X21X222,21X1X2X21X222
211121121X221,211121121X221
21XXX2121X222,21XXX2121X222
2X11111212X22,2X11111212X22
2X21X1X21X222,2X21X1X21X222
2XXX2112122X2,2XXX2112122X2
2121211211222,2121211211222
211XX11X12222,211XX11X12222
2211X11X1X222,2211X11X1X222
21X111121XX2X,21X111121XX2X
XXX1X1121222X,XXX1X1121222X
22X121121X22X,22X121121X22X
2121111211222,2121111211222
21112112112X2,21112112112X2
X1X1111X122X2,X1X1111X122X2
2XX112121X2X2,2XX112121X2X2
2XX1111X1222X,2XX1111X1222X
2111111X1222X,2111111X1222X
21111112X22X2,21111112X22X2
211XX112XX222,211XX112XX222
22X1211211222,22X1211211222
2XX1X1121XX2X,2XX1X1121XX2X
2X11X1121XXX2,2X11X1121XXX2
211121111XX22,211121111XX22
21112112XX22X,21112112XX22X
21X11X121X221,21X11X121X221
21X11X11122X2,21X11X11122X2
22X12112X2222,22X12112X2222
212121X21X2X2,212121X21X2X2
21XX21X21X2X2,21XX21X21X2X2
X1X1X11X11222,X1X1X11X11222
21X1211X122XX,21X1211X122XX
2XXX11121XX22,2XXX11121XX22
11X111121X22X,11X111121X22X
2111X1X2X2222,2111X1X2X2222
X1X1X1111X22X,X1X1X1111X22X
2111XX111X2X2,2111XX111X2X2
1XX1111X1X222,1XX1111X1X222
1121X11212222,1121X11212222
211111111222X,211111111222X
X1X221121X222,X1X221121X222
21X111111X2XX,21X111111X2XX
2111X1X212X22,2111X1X212X22
21X12X1X11222,21X12X1X11222
2111121X12222,2111121X12222
211121121122X,211121121122X
2111X11X1X2XX,2111X11X1X2XX
11X1211112222,11X1211112222
2X11X21X1X222,2X11X21X1X222
X111X1121X2XX,X111X1121X2XX
21X12X111X22X,21X12X111X22X
2XX111121122X,2XX111121122X
221111121X22X,221111121X22X
XX1X211212222,XX1X211212222
2X1XX1121X22X,2X1XX1121X22X
21X11X1X1222X,21X11X1X1222X
2XX1211112X22,2XX1211112X22
211111121122X,211111121122X
X11XX11X1X222,X11XX11X1X222
2121XX12XX222,2121XX12XX222
2X1X111X12222,2X1X111X12222
X11111X21X2X2,X11111X21X2X2
21X1X111112X2,21X1X111112X2
12X121121X222,12X121121X222
21X121111XXX2,21X121111XXX2
21X1X11X1X212,21X1X11X1X212
21112X121X2XX,21112X121X2XX
21X111X21X221,21X111X21X221
2XX1111212212,2XX1111212212
1XX11112122X2,1XX11112122X2
2111111112X22,2111111112X22
2XX1211211X22,2XX1211211X22
XXX1X111122X2,XXX1X111122X2
2111X11X1X221,2111X11X1X221
2XX12X1X1X22X,2XX12X1X1X22X
21X12X1X12X22,21X12X1X12X22
21X1XXX21222X,21X1XXX21222X
21X1X1X11X22X,21X1X1X11X22X
2XX1111212X2X,2XX1111212X2X
212XX1X21X222,212XX1X21X222
X1X121121X212,X1X121121X212
2XX11X1X1X22X,2XX11X1X1X22X
XX11111X1X2X2,XX11111X1X2X2
212121X11X222,212121X11X222
21X11XX21XX22,21X11XX21XX22
21X1121X122X2,21X1121X122X2
2121X11212221,2121X11212221
X1X1211111222,X1X1211111222
2111121112222,2111121112222
XX11111212X22,XX11111212X22
211121X11X2X2,211121X11X2X2
212121X21X22X,212121X21X22X
XXX1XX121222X,XXX1XX121222X
X211XX121X222,X211XX121X222
2X1121X211222,2X1121X211222
211XXX111X222,211XXX111X222
2X111212122X2,2X111212122X2
X111111XXX222,X111111XXX222
2121211212221,2121211212221
2X212X1X12222,2X212X1X12222
11X1XX12122X2,11X1XX12122X2
X1112XX212222,X1112XX212222
21XX1X1211222,21XX1X1211222
X1X112111X222,X1X112111X222
211211121X2X2,211211121X2X2
21X111XXX2222,21X111XXX2222
2X11XXXX1X222,2X11XXXX1X222
XX1121111X2X2,XX1121111X2X2
2111X1111XXX2,2111X1111XXX2
21X1X1X21XX2X,21X1X1X21XX2X
22X11111122X2,22X11111122X2
2111211XX22X2,2111211XX22X2
2XXXX111122X2,2XXXX111122X2
