Rad,rad
1111111111111,1111111111111
2111111111111,2111111111111
1111111111211,1111111111211
1111111121111,1111111121111
1211111111111,1211111111111
1111121111111,1111121111111
1111112111111,1111112111111
11X1111111111,11X1111111111
111111111111X,111111111111X
11111111X1111,11111111X1111
X111111111111,X111111111111
11111111111X1,11111111111X1
1111111111X11,1111111111X11
1111111X11111,1111111X11111
11111X1111111,11111X1111111
111111X111111,111111X111111
2111111211111,2111111211111
1111211211111,1111211211111
1111211111112,1111211111112
2211111111111,2211111111111
1211112111111,1211112111111
1122111111111,1122111111111
1212111111111,1212111111111
2111211111111,2111211111111
1111211111211,1111211111211
1112111211111,1112111211111
1111111122111,1111111122111
2111111111121,2111111111121
1111111221111,1111111221111
1111111211112,1111111211112
2111111111211,2111111111211
1111111121112,1111111121112
1111111112211,1111111112211
1121111121111,1121111121111
1111111212111,1111111212111
1111111112112,1111111112112
1112111111121,1112111111121
1112111111112,1112111111112
1111121112111,1111121112111
1211111112111,1211111112111
1112111121111,1112111121111
1211111111211,1211111111211
1121111111211,1121111111211
1111121111121,1111121111121
1211111111121,1211111111121
11112111111X1,11112111111X1
1111211X11111,1111211X11111
1X12111111111,1X12111111111
11111111X2111,11111111X2111
11111X1211111,11111X1211111
2111111111X11,2111111111X11
21111X1111111,21111X1111111
1111111X12111,1111111X12111
1112111111X11,1112111111X11
111211111X111,111211111X111
1111111X11211,1111111X11211
1111X11111112,1111X11111112
1111X11111121,1111X11111121
211X111111111,211X111111111
1X21111111111,1X21111111111
1X11211111111,1X11211111111
1111X21111111,1111X21111111
11111211X1111,11111211X1111
1X11111121111,1X11111121111
1X11111112111,1X11111112111
111112111X111,111112111X111
1X11111111121,1X11111111121
12111111X1111,12111111X1111
11X1111111121,11X1111111121
11X1111112111,11X1111112111
11X1111211111,11X1111211111
X121111111111,X121111111111
111X111211111,111X111211111
X111121111111,X111121111111
111X111121111,111X111121111
X111111111121,X111111111121
1121X11111111,1121X11111111
11X1121111111,11X1121111111
X211111111111,X211111111111
1111111211X11,1111111211X11
1111111112X11,1111111112X11
1111111121X11,1111111121X11
111111111X121,111111111X121
111111112111X,111111112111X
111111211111X,111111211111X
111X111111112,111X111111112
111111111121X,111111111121X
111111111X112,111111111X112
1111111111X12,1111111111X12
1111111X11112,1111111X11112
111112111111X,111112111111X
1X11111111112,1X11111111112
1111121X11111,1111121X11111
11111211111X1,11111211111X1
11111111211X1,11111111211X1
X111112111111,X111112111111
11111112111X1,11111112111X1
11111111112X1,11111111112X1
21111111111X1,21111111111X1
1111X11111X11,1111X11111X11
11X1X11111111,11X1X11111111
1111X1111111X,1111X1111111X
1X111111X1111,1X111111X1111
1111X111111X1,1111X111111X1
1111111X111X1,1111111X111X1
111111X11111X,111111X11111X
X1111X1111111,X1111X1111111
11X11111X1111,11X11111X1111
11XX111111111,11XX111111111
X1111111111X1,X1111111111X1
1X1111X111111,1X1111X111111
1X11111111X11,1X11111111X11
1111111X1X111,1111111X1X111
11111X111X111,11111X111X111
11X1111X11111,11X1111X11111
111X1111X1111,111X1111X1111
1111211112121,1111211112121
1111211111221,1111211111221
2111111211112,2111111211112
2111121111112,2111121111112
2111111211121,2111111211121
1111112211121,1111112211121
1111222111111,1111222111111
1121112111112,1121112111112
2121111111121,2121111111121
1121111211121,1121111211121
1212111111112,1212111111112
1111111211122,1111111211122
1111112111212,1111112111212
1211111111122,1211111111122
2111111111212,2111111111212
1211121111211,1211121111211
1121111211211,1121111211211
1121111111221,1121111111221
1112211111211,1112211111211
1121111112121,1121111112121
1111121111122,1111121111122
1111122111211,1111122111211
1111112111221,1111112111221
1111112121112,1111112121112
1111111221112,1111111221112
1111111121221,1111111121221
1211112111211,1211112111211
