Rad,rad
1111111111111,1111111111111
1111211111111,1111211111111
1111111111211,1111111111211
1111112111111,1111112111111
1112111111111,1112111111111
1111121111111,1111121111111
1211111111111,1211111111111
1121111111111,1121111111111
1111X11111111,1111X11111111
X111111111111,X111111111111
111X111111111,111X111111111
111111111X111,111111111X111
11X1111111111,11X1111111111
11111X1111111,11111X1111111
1122111111111,1122111111111
1111211111211,1111211111211
1111221111111,1111221111111
1111212111111,1111212111111
1211211111111,1211211111111
1111211121111,1111211121111
1112112111111,1112112111111
2121111111111,2121111111111
1212111111111,1212111111111
1112211111111,1112211111111
2111211111111,2111211111111
1112121111111,1112121111111
2112111111111,2112111111111
1211111111112,1211111111112
1111111112121,1111111112121
1111111111122,1111111111122
1121111111112,1121111111112
2111111111121,2111111111121
2111111121111,2111111121111
1121111112111,1121111112111
1111112112111,1111112112111
1112111112111,1112111112111
1211111111211,1211111111211
1111111221111,1111111221111
1211111112111,1211111112111
1111112111211,1111112111211
1111X11111211,1111X11111211
X111111111211,X111111111211
1X11121111111,1X11121111111
111111112X111,111111112X111
11121X1111111,11121X1111111
1211111111X11,1211111111X11
1111111X21111,1111111X21111
1X11111211111,1X11111211111
1111111111X21,1111111111X21
1X11111111211,1X11111111211
1X11111121111,1X11111121111
121111111X111,121111111X111
11111112X1111,11111112X1111
11111X1111211,11111X1111211
11111X1111121,11111X1111121
1111111X11211,1111111X11211
111111X112111,111111X112111
11111111X2111,11111111X2111
X111211111111,X111211111111
2111111111X11,2111111111X11
111211X111111,111211X111111
211111X111111,211111X111111
1111X21111111,1111X21111111
111111211X111,111111211X111
11121111X1111,11121111X1111
11112111X1111,11112111X1111
12111X1111111,12111X1111111
11X1111211111,11X1111211111
11X1111111211,11X1111111211
11111211X1111,11111211X1111
2111X11111111,2111X11111111
X111111111121,X111111111121
21111X1111111,21111X1111111
111X111121111,111X111121111
X111121111111,X111121111111
1111111X11112,1111111X11112
111111121111X,111111121111X
111111211111X,111111211111X
11111X1111112,11111X1111112
X111111111112,X111111111112
11121111111X1,11121111111X1
11111X2111111,11111X2111111
1211111X11111,1211111X11111
11111211111X1,11111211111X1
11X1112111111,11X1112111111
11111111121X1,11111111121X1
11111111211X1,11111111211X1
1111X1111X111,1111X1111X111
X111X11111111,X111X11111111
1111X1111111X,1111X1111111X
1X111111X1111,1X111111X1111
111111111XX11,111111111XX11
1X1111111111X,1X1111111111X
1X11111111X11,1X11111111X11
1111111X11X11,1111111X11X11
11111X111X111,11111X111X111
11111X111111X,11111X111111X
1111X111111X1,1111X111111X1
1XX1111111111,1XX1111111111
1X11111X11111,1X11111X11111
1111111111XX1,1111111111XX1
111111111X11X,111111111X11X
1111111X1111X,1111111X1111X
11111111X111X,11111111X111X
111111X1X1111,111111X1X1111
X1111111X1111,X1111111X1111
1111211111122,1111211111122
1111211112211,1111211112211
1211121111112,1211121111112
1211121111121,1211121111121
1111211111212,1111211111212
1112112111121,1112112111121
1121211111121,1121211111121
2111121111112,2111121111112
1211211111112,1211211111112
1111211221111,1111211221111
1111211212111,1111211212111
2111112111121,2111112111121
1112111112121,1112111112121
1112111121112,1112111121112
2111111111122,2111111111122
2111111112121,2111111112121
1112121111211,1112121111211
2111111211211,2111111211211
1111111211212,1111111211212
1212111111211,1212111111211
1211111121121,1211111121121
1121111112121,1121111112121
1121111211211,1121111211211
1111111121212,1111111121212
1121111111122,1121111111122
1111121111221,1111121111221
1111112211211,1111112211211
1111111122121,1111111122121
2111211111211,2111211111211
1211121111211,1211121111211
1211122111111,1211122111111
1122111112111,1122111112111
2111111121211,2111111121211
1211221111111,1211221111111
1211111112211,1211111112211
1112221111111,1112221111111
1112211211111,1112211211111
1111121122111,1111121122111
112122222XX22,112122222XX22
1X2122222XX22,1X2122222XX22
1121XX22212X2,1121XX22212X2
112122222XXX2,112122222XXX2
1X21212221122,1X21212221122
11211222212X2,11211222212X2
1X21212221212,1X21212221212
1221222221122,1221222221122
11211X2221122,11211X2221122
11212222212XX,11212222212XX
1121222222122,1121222222122
1121X2X2212X2,1121X2X2212X2
112X222221XX2,112X222221XX2
1X2112222XXX2,1X2112222XXX2
11211X222X122,11211X222X122
1X212122X12X2,1X212122X12X2
1221222X21X22,1221222X21X22
1221X22221212,1221X22221212
1121X12X212X2,1121X12X212X2
1X2121222XX2X,1X2121222XX2X
112X1X2221222,112X1X2221222
1X21XX222X212,1X21XX222X212
112122222X12X,112122222X12X
1X21X22222XX2,1X21X22222XX2
11211X22212XX,11211X22212XX
11212X22X1212,11212X22X1212
1X21212221X21,1X21212221X21
1121221221222,1121221221222
1X2X212221122,1X2X212221122
122112222X122,122112222X122
1X21X1X221122,1X21X1X221122
1X211X22X1X22,1X211X22X1X22
122121222112X,122121222112X
1X212X2222X12,1X212X2222X12
1X21X12X21122,1X21X12X21122
112X21222122X,112X21222122X
1121211221X22,1121211221X22
1121XX22221X2,1121XX22221X2
1X2122X221X2X,1X2122X221X2X
1121X22X21X12,1121X22X21X12
1221X122X12X2,1221X122X12X2
122X212221122,122X212221122
1X2X22222X122,1X2X22222X122
1121X22221XX1,1121X22221XX1
112112X222222,112112X222222
1X211122X1XX2,1X211122X1XX2
112111X2211X2,112111X2211X2
11212222211X1,11212222211X1
112X12222X2X2,112X12222X2X2
12212222X11X2,12212222X11X2
1221X1222112X,1221X1222112X
1X211X22X1122,1X211X22X1122
12212X2221X1X,12212X2221X1X
1X21X222X1X12,1X21X222X1X12
11212X2222221,11212X2222221
12212XXX21222,12212XXX21222
112XXX222X122,112XXX222X122
1121X22X212XX,1121X22X212XX
11211X2X21X12,11211X2X21X12
11212122X112X,11212122X112X
1121X2XX2X222,1121X2XX2X222
1X21212X2X22X,1X21212X2X22X
1X21X122XX122,1X21X122XX122
1121X22X2XX12,1121X22X2XX12
1X2111222XXXX,1X2111222XXXX
112X1122211X2,112X1122211X2
1121X1X2X12X2,1121X1X2X12X2
1X211XX2211X2,1X211XX2211X2
1121122221121,1121122221121
1X21XXX221X2X,1X21XXX221X2X
1121222X2X112,1121222X2X112
11211X2X22X22,11211X2X22X22
1121X112212X2,1121X112212X2
1X21122X2X122,1X21122X2X122
11X122222XXX2,11X122222XXX2
1X211XX221X12,1X211XX221X12
112121122X2X2,112121122X2X2
1X21112221X1X,1X21112221X1X
1221222222112,1221222222112
1121122222112,1121122222112
1121112XX1X22,1121112XX1X22
11X1XX2221XX2,11X1XX2221XX2
112111222X1XX,112111222X1XX
1121X22X2112X,1121X22X2112X
112121222X1X1,112121222X1X1
112XX22221112,112XX22221112
1X2122222221X,1X2122222221X
122122X222122,122122X222122
11X1X12221122,11X1X12221122
1221222221211,1221222221211
1121X12221X11,1121X12221X11
11212112211X2,11212112211X2
11222X22X1222,11222X22X1222
1X21XX22XX212,1X21XX22XX212
112XX2X22XX22,112XX2X22XX22
11211112212X2,11211112212X2
1121211222222,1121211222222
1121112X2XX12,1121112X2XX12
12212222211X1,12212222211X1
1X211X22X122X,1X211X22X122X
1X21X12X2XX12,1X21X12X2XX12
1222112221222,1222112221222
1X21X2222212X,1X21X2222212X
11212122X12X1,11212122X12X1
1221X222X2X22,1221X222X2X22
112111X2XX222,112111X2XX222
112X2X2221X21,112X2X2221X21
12212X22X12XX,12212X22X12XX
1X21X22121222,1X21X22121222
