Rad,rad
1111111111211,1111111111211
2111111111111,2111111111111
1111111121111,1111111121111
1111121111111,1111121111111
1111112111111,1111112111111
1111111111112,1111111111112
1111111X11111,1111111X11111
11111111111X1,11111111111X1
X111111111111,X111111111111
1X11111111111,1X11111111111
111111X111111,111111X111111
111111111111X,111111111111X
2121111111111,2121111111111
2111121111111,2111121111111
1211121111111,1211121111111
1111121211111,1111121211111
1112112111111,1112112111111
2112111111111,2112111111111
1111212111111,1111212111111
1112121111111,1112121111111
1111211121111,1111211121111
1111211111211,1111211111211
2111111111211,2111111111211
1111111112112,1111111112112
1111111111221,1111111111221
1111112111121,1111112111121
1111121112111,1111121112111
1111121111112,1111121111112
1111112111112,1111112111112
1111121111211,1111121111211
1211111111211,1211111111211
1111111111212,1111111111212
1112111111211,1112111111211
1121111111211,1121111111211
1211111112111,1211111112111
1211111121111,1211111121111
1112111112111,1112111112111
1111111112121,1111111112121
1111112121111,1111112121111
2111111112111,2111111112111
111121111X111,111121111X111
111211X111111,111211X111111
11X1111121111,11X1111121111
121111X111111,121111X111111
2X11111111111,2X11111111111
1111111X21111,1111111X21111
11X1121111111,11X1121111111
1121X11111111,1121X11111111
X112111111111,X112111111111
1111111121X11,1111111121X11
11111111X2111,11111111X2111
1111111211X11,1111111211X11
111111211X111,111111211X111
X111121111111,X111121111111
11X1211111111,11X1211111111
X121111111111,X121111111111
1121111111X11,1121111111X11
X211111111111,X211111111111
112X111111111,112X111111111
21X1111111111,21X1111111111
11211111X1111,11211111X1111
11211X1111111,11211X1111111
1111X11121111,1111X11121111
1111211X11111,1111211X11111
111X121111111,111X121111111
111111111X211,111111111X211
111X111111121,111X111111121
1111111111X21,1111111111X21
2111111111X11,2111111111X11
X111211111111,X111211111111
1211X11111111,1211X11111111
11X1111111112,11X1111111112
11111111X1112,11111111X1112
111211111111X,111211111111X
211111111111X,211111111111X
111112111111X,111112111111X
111111111X112,111111111X112
111111111211X,111111111211X
121111111111X,121111111111X
11111111211X1,11111111211X1
11111X2111111,11111X2111111
11121111111X1,11121111111X1
X111112111111,X111112111111
11111211111X1,11111211111X1
11211111111X1,11211111111X1
2111111X11111,2111111X11111
1111121X11111,1111121X11111
111XX11111111,111XX11111111
1111X1X111111,1111X1X111111
1111XX1111111,1111XX1111111
X11X111111111,X11X111111111
XX11111111111,XX11111111111
11X11X1111111,11X11X1111111
1X1111111111X,1X1111111111X
11111111X11X1,11111111X11X1
1X111X1111111,1X111X1111111
11111111X111X,11111111X111X
X111111X11111,X111111X11111
X11111111X111,X11111111X111
X1111111111X1,X1111111111X1
111111X1X1111,111111X1X1111
111111X11111X,111111X11111X
1X1111111X111,1X1111111X111
11X1111X11111,11X1111X11111
111X11111X111,111X11111X111
111X111111X11,111X111111X11
111X1111X1111,111X1111X1111
111111111X1X1,111111111X1X1
11111X11111X1,11111X11111X1
1X111111111X1,1X111111111X1
11111111111XX,11111111111XX
11111X1111X11,11111X1111X11
11X111111X111,11X111111X111
1111211111122,1111211111122
1111211211121,1111211211121
1111222111111,1111222111111
2211111111121,2211111111121
2211111111112,2211111111112
1111112211121,1111112211121
1112112111112,1112112111112
1112111211112,1112111211112
1121211111121,1121211111121
1111122111112,1111122111112
1111211121121,1111211121121
2111121111112,2111121111112
1112111211121,1112111211121
1111121211112,1111121211112
1111112111212,1111112111212
1211112111211,1211112111211
1111121112112,1111121112112
2111111211211,2111111211211
1112121111211,1112121111211
1212111111211,1212111111211
1111211211211,1111211211211
1211121111211,1211121111211
1111111221112,1111111221112
1111111122121,1111111122121
1112211111211,1112211111211
1112111111212,1112111111212
1121111112112,1121111112112
1112111111122,1112111111122
2121111111211,2121111111211
1121111112121,1121111112121
1111111211122,1111111211122
2X22X2212X111,2X22X2212X111
222222222X111,222222222X111
2X22122222111,2X22122222111
21X2X22X21111,21X2X22X21111
2122X22X2XX11,2122X22X2XX11
2X22221222111,2X22221222111
2X222X222X111,2X222X222X111
212222222111X,212222222111X
2X2222X22211X,2X2222X22211X
2222122X2X111,2222122X2X111
21222XXX2X111,21222XXX2X111
22X2222121111,22X2222121111
21X212212X111,21X212212X111
21X22221X2111,21X22221X2111
2122X21222111,2122X21222111
21X2X2XX21111,21X2X2XX21111
21X2221222111,21X2221222111
X1X2X22X22111,X1X2X22X22111
XXX2X22X22111,XXX2X22X22111
2XX2222XX1111,2XX2222XX1111
22222X2122111,22222X2122111
212X222121111,212X222121111
21X2222X2X211,21X2222X2X211
2X2212X221111,2X2212X221111
2X22X2222X112,2X22X2222X112
2X221X2X22111,2X221X2X22111
2122222221211,2122222221211
211222222211X,211222222211X
2122121X22111,2122121X22111
X122X2X222111,X122X2X222111
212222X2X1111,212222X2X1111
2122XXXX2X111,2122XXXX2X111
212X22X12X111,212X22X12X111
2X22122X221X1,2X22122X221X1
X1X2X2222X111,X1X2X2222X111
2X22121X2X111,2X22121X2X111
XX22122122111,XX22122122111
21X2X222XX111,21X2X222XX111
21X222X1X2111,21X222X1X2111
2XX2221221111,2XX2221221111
21222221XX11X,21222221XX11X
21X22X2121111,21X22X2121111
21X2X21222111,21X2X21222111
X1222222XX111,X1222222XX111
X2X222222X111,X2X222222X111
2XXX22XX2X111,2XXX22XX2X111
21222X212X11X,21222X212X11X
2112X2X12X111,2112X2X12X111
2122122222112,2122122222112
X1222X2122111,X1222X2122111
21X222XXX1111,21X222XXX1111
2112X2XX21111,2112X2XX21111
2X22222XXX1X1,2X22222XXX1X1
21X222X222112,21X222X222112
X2X222212X111,X2X222212X111
21X212222211X,21X212222211X
21221221221X1,21221221221X1
XXX2222222X11,XXX2222222X11
21X2X2212111X,21X2X2212111X
X112222X21111,X112222X21111
2XX2X22122112,2XX2X22122112
2XX2X2112X111,2XX2X2112X111
21222222X2112,21222222X2112
2122X21X2211X,2122X21X2211X
2122222222121,2122222222121
2X2212X122X11,2X2212X122X11
2X221XXX22111,2X221XXX22111
211222122X111,211222122X111
XX1222XX22111,XX1222XX22111
2XX2X222X1111,2XX2X222X1111
2X222X122X111,2X222X122X111
X12222XXXX111,X12222XXXX111
2122221X22211,2122221X22211
2112X2212211X,2112X2212211X
212212XX21X11,212212XX21X11
22X2122121111,22X2122121111
2112221X21111,2112221X21111
2X22X2X1X1111,2X22X2X1X1111
2XX2121X2X111,2XX2121X2X111
2XX22X222XX11,2XX22X222XX11
XX2212X122111,XX2212X122111
212X2221XX111,212X2221XX111
2122222221X12,2122222221X12
2122121221111,2122121221111
2222X22X21112,2222X22X21112
2122X22XX21X1,2122X22XX21X1
2222X2222X211,2222X2222X211
22X222X12X11X,22X222X12X11X
21122X2221111,21122X2221111
2X2XX22XX2111,2X2XX22XX2111
21XX122X2X111,21XX122X2X111
21222X212X112,21222X212X112
2X22X2X221112,2X22X2X221112
211212X12X111,211212X12X111
21X212222111X,21X212222111X
21X212122X111,21X212122X111
2X2X22112X111,2X2X22112X111
22221X2122111,22221X2122111
22221X222X111,22221X222X111
X122222X21211,X122222X21211
X1222XX122111,X1222XX122111
X122X22222112,X122X22222112
212X2222X1111,212X2222X1111
2112122X2X11X,2112122X2X11X
2212X2X12X111,2212X2X12X111
2XX2221X22112,2XX2221X22112
2122X222X111X,2122X222X111X
2XX2221X2111X,2XX2221X2111X
X1X222122X111,X1X222122X111
2112X22XX1111,2112X22XX1111
2X22X211X2111,2X22X211X2111
2X12221121111,2X12221121111
21X22222X111X,21X22222X111X
2122X22X21X12,2122X22X21X12
21X21XXX22111,21X21XXX22111
21X22X2221X11,21X22X2221X11
X1X2122221111,X1X2122221111
XXX2222121X11,XXX2222121X11
22X22XX12X111,22X22XX12X111
2222X21X22X11,2222X21X22X11
212222212121X,212222212121X
2122X22XXX211,2122X22XXX211
X12XX22122111,X12XX22122111
2X2X122X22X11,2X2X122X22X11
212212X222211,212212X222211
2X22222121121,2X22222121121
212222X1X1X11,212222X1X1X11
2X2222X1X1X11,2X2222X1X1X11
X212222X21111,X212222X21111
XXX222212111X,XXX222212111X
2X1212X221111,2X1212X221111
2112122122X11,2112122122X11
21X212X12XX11,21X212X12XX11
2122221221112,2122221221112
221222122X111,221222122X111
2XXX22XX2211X,2XXX22XX2211X
211X22X22X111,211X22X22X111
2112X21X21111,2112X21X21111
22222X2X22211,22222X2X22211
2X1212222X11X,2X1212222X11X
2112X2X12211X,2112X2X12211X
X2222221221X1,X2222221221X1
21X2X2X22X211,21X2X2X22X211
2X122X2X2X11X,2X122X2X2X11X
