Rad,rad
1111111111111,1111111111111
1111112111111,1111112111111
1211111111111,1211111111111
1111121111111,1111121111111
1111111211111,1111111211111
1111111111211,1111111111211
1111111121111,1111111121111
X111111111111,X111111111111
111X111111111,111X111111111
1X11111111111,1X11111111111
1111111X11111,1111111X11111
1221111111111,1221111111111
1121121111111,1121121111111
1121111211111,1121111211111
1112211111111,1112211111111
1111121211111,1111121211111
1111211111112,1111211111112
2111211111111,2111211111111
1121111112111,1121111112111
1211111121111,1211111121111
1111121111112,1111121111112
1111121111211,1111121111211
1211111112111,1211111112111
1111111211121,1111111211121
2111111111211,2111111111211
1111112111211,1111112111211
1111111121112,1111111121112
1111111122111,1111111122111
1111111211211,1111111211211
1111111112121,1111111112121
1111111112112,1111111112112
1112111111112,1112111111112
1111111112211,1111111112211
1112111121111,1112111121111
1111211111X11,1111211111X11
111121111111X,111121111111X
1111X12111111,1111X12111111
111211111X111,111211111X111
1111121111X11,1111121111X11
11111211X1111,11111211X1111
11111X1111211,11111X1111211
112X111111111,112X111111111
12111X1111111,12111X1111111
11211111X1111,11211111X1111
112111111X111,112111111X111
11111111X1121,11111111X1121
111X121111111,111X121111111
111111121X111,111111121X111
1111111211X11,1111111211X11
111X111111121,111X111111121
1112X11111111,1112X11111111
11X1111112111,11X1111112111
12X1111111111,12X1111111111
1111111X11121,1111111X11121
211111111X111,211111111X111
X121111111111,X121111111111
11111112X1111,11111112X1111
X111111111211,X111111111211
112111X111111,112111X111111
X111111121111,X111111121111
121X111111111,121X111111111
1111X21111111,1111X21111111
111111111X211,111111111X211
111111X112111,111111X112111
1111X11121111,1111X11121111
1211111111X11,1211111111X11
111111X211111,111111X211111
1X21111111111,1X21111111111
X111111111112,X111111111112
211111111111X,211111111111X
11X1111111112,11X1111111112
1X11111111112,1X11111111112
111111211111X,111111211111X
111X112111111,111X112111111
1112111X11111,1112111X11111
12111111111X1,12111111111X1
1111112X11111,1111112X11111
21111111111X1,21111111111X1
1111X1X111111,1111X1X111111
1111XX1111111,1111XX1111111
X11111111X111,X11111111X111
11X11X1111111,11X11X1111111
1111111X1X111,1111111X1X111
111111111XX11,111111111XX11
11111111X1X11,11111111X1X11
11X111111X111,11X111111X111
11111X111111X,11111X111111X
X1111111111X1,X1111111111X1
11111111X111X,11111111X111X
XX11111111111,XX11111111111
1X1111111X111,1X1111111X111
11111X11111X1,11111X11111X1
X11111X111111,X11111X111111
111111111X1X1,111111111X1X1
11111111XX111,11111111XX111
1111111111XX1,1111111111XX1
111111X111X11,111111X111X11
1X1111111111X,1X1111111111X
111111X1X1111,111111X1X1111
111X1111X1111,111X1111X1111
1X111111X1111,1X111111X1111
1111211112211,1111211112211
1111211112121,1111211112121
2112111111112,2112111111112
1112211111121,1112211111121
1111221111121,1111221111121
2121111111121,2121111111121
1212111111112,1212111111112
1212111111121,1212111111121
1111121211121,1111121211121
2211111111121,2211111111121
1111112211121,1111112211121
1211112111121,1211112111121
1112121111121,1112121111121
1111222111111,1111222111111
1111212121111,1111212121111
1112121111112,1112121111112
1121112111112,1121112111112
2111111211112,2111111211112
2111211111112,2111211111112
1121111211112,1121111211112
1111211122111,1111211122111
1111211111212,1111211111212
2111112111121,2111112111121
1211111211112,1211111211112
1111111121122,1111111121122
1111111121221,1111111121221
1112211111211,1112211111211
1121111111221,1121111111221
2111112111211,2111112111211
1111111112122,1111111112122
2111111112121,2111111112121
1112111111221,1112111111221
1211111111212,1211111111212
1211111211211,1211111211211
2111111111212,2111111111212
1211111111122,1211111111122
2211111111211,2211111111211
1111112121121,1111112121121
1121211111211,1121211111211
1111112211211,1111112211211
1111112111221,1111112111221
1121111121112,1121111121112
2111211111211,2111211111211
11X1222111221,11X1222111221
11112221X1221,11112221X1221
112122211XXX1,112122211XXX1
1121X21111221,1121X21111221
112112X11X221,112112X11X221
111122X1XX121,111122X1XX121
1121X221X2121,1121X221X2121
1121X221XX22X,1121X221XX22X
1121X211X1121,1121X211X1121
11211221X1121,11211221X1121
1121X2X11X22X,1121X2X11X22X
112XX2211X221,112XX2211X221
11X1221111121,11X1221111121
1121X2X1XX1X1,1121X2X1XX1X1
112122X1X1X2X,112122X1X1X2X
1121X221111X1,1121X221111X1
1121X221X11X1,1121X221X11X1
112112X111121,112112X111121
1111X2X111221,1111X2X111221
1111X2X1X1221,1111X2X1X1221
112XX2X1XX221,112XX2X1XX221
11X12211X1X21,11X12211X1X21
11X12221X11X1,11X12221X11X1
11X1X2X1X1X21,11X1X2X1X1X21
1111X2X11X121,1111X2X11X121
112122X12122X,112122X12122X
112112X12X221,112112X12X221
1111X221X1121,1111X221X1121
1121222121XX1,1121222121XX1
1121X2X111XX1,1121X2X111XX1
1121X2211112X,1121X2211112X
1121222X11121,1121222X11121
11112211X1121,11112211X1121
11212XX121221,11212XX121221
11212X21X12X1,11212X21X12X1
1121X211X12X1,1121X211X12X1
112222X11X221,112222X11X221
112XX221XXX21,112XX221XXX21
112112111X121,112112111X121
11211211XX121,11211211XX121
111X2221XX221,111X2221XX221
112122XXXXX21,112122XXXXX21
11X112211X121,11X112211X121
