Rad,rad
1111211111111,1111211111111
1211111111111,1211111111111
1111121111111,1111121111111
1111111211111,1111111211111
1111111111211,1111111111211
1111111121111,1111111121111
1111111X11111,1111111X11111
X111111111111,X111111111111
111111111111X,111111111111X
11111X1111111,11111X1111111
111111X111111,111111X111111
11X1111111111,11X1111111111
1121111211111,1121111211111
1111212111111,1111212111111
1211211111111,1211211111111
1211121111111,1211121111111
1111122111111,1111122111111
1211111211111,1211111211111
2111112111111,2111112111111
1111211211111,1111211211111
2111111211111,2111111211111
1111211111112,1111211111112
1111121111112,1111121111112
1111111211121,1111111211121
1121111112111,1121111112111
1111112111112,1111112111112
1111121112111,1111121112111
1111121111211,1111121111211
1111111112112,1111111112112
1111112112111,1111112112111
1111111121121,1111111121121
1111111111212,1111111111212
1111112121111,1111112121111
1211111112111,1211111112111
1111111212111,1111111212111
1112111121111,1112111121111
1111211111X11,1111211111X11
1111X11111211,1111X11111211
X111111121111,X111111121111
111X111112111,111X111112111
X112111111111,X112111111111
1X12111111111,1X12111111111
21X1111111111,21X1111111111
111111112X111,111111112X111
11X1111111121,11X1111111121
11X1211111111,11X1211111111
1111X11111112,1111X11111112
21111X1111111,21111X1111111
111X211111111,111X211111111
111111X211111,111111X211111
111111121X111,111111121X111
1X11111121111,1X11111121111
X111111112111,X111111112111
111X111121111,111X111121111
11112111X1111,11112111X1111
112111X111111,112111X111111
X121111111111,X121111111111
11111111X1121,11111111X1121
X111111211111,X111111211111
111111111112X,111111111112X
1111111111X12,1111111111X12
111111111X112,111111111X112
111111111121X,111111111121X
1111111X11112,1111111X11112
111211111111X,111211111111X
11X1112111111,11X1112111111
11111211111X1,11111211111X1
1211111X11111,1211111X11111
1112111X11111,1112111X11111
11111111121X1,11111111121X1
11111X2111111,11111X2111111
1X11112111111,1X11112111111
11211111111X1,11211111111X1
11111111211X1,11111111211X1
11X1X11111111,11X1X11111111
1111X11X11111,1111X11X11111
1111X111X1111,1111X111X1111
1111X1X111111,1111X1X111111
X111X11111111,X111X11111111
1111X11111X11,1111X11111X11
1X11X11111111,1X11X11111111
1111X1111111X,1111X1111111X
11X111111111X,11X111111111X
1111111X1111X,1111111X1111X
111111111XX11,111111111XX11
1111111X111X1,1111111X111X1
111111111X1X1,111111111X1X1
1111111XX1111,1111111XX1111
111111111X11X,111111111X11X
11111111X111X,11111111X111X
11X1111111X11,11X1111111X11
1X1111X111111,1X1111X111111
11111X111111X,11111X111111X
11111X111X111,11111X111X111
11111X1X11111,11111X1X11111
1111111X1X111,1111111X1X111
X11111111111X,X11111111111X
X1111111X1111,X1111111X1111
X1111111111X1,X1111111111X1
111X11X111111,111X11X111111
111X111X11111,111X111X11111
1X111111111X1,1X111111111X1
111X1111111X1,111X1111111X1
X11X111111111,X11X111111111
1X11111111X11,1X11111111X11
111111X111X11,111111X111X11
111111X11X111,111111X11X111
1111211111122,1111211111122
1111221111121,1111221111121
1111221112111,1111221112111
2112111111121,2112111111121
1111212121111,1111212121111
1121211111121,1121211111121
1121111211112,1121111211112
2121111111121,2121111111121
1112111211112,1112111211112
1111211211121,1111211211121
1112121111112,1112121111112
1111112211121,1111112211121
1211211111121,1211211111121
1221111111121,1221111111121
1111211121211,1111211121211
2111111211112,2111111211112
1111211112112,1111211112112
1111111211221,1111111211221
2112111111211,2112111111211
1211111121112,1211111121112
1111111221121,1111111221121
1111111212112,1111111212112
1111112112112,1111112112112
1121112111211,1121112111211
1111221111211,1111221111211
1111211211211,1111211211211
1112111111221,1112111111221
1111112111212,1111112111212
1211112111211,1211112111211
1112111112112,1112111112112
1111121111122,1111121111122
1111121111212,1111121111212
1111121111221,1111121111221
1111121121112,1111121121112
1121111111122,1121111111122
1121111121121,1121111121121
1211111122111,1211111122111
122112211X212,122112211X212
12211221X1221,12211221X1221
122112X11122X,122112X11122X
12211221X1XX1,12211221X1XX1
122112211XX1X,122112211XX1X
12X1122111X22,12X1122111X22
